group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
batch,partitioned/gzip(6)_500000,,10000000,bytes,457672886.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,457218054.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,458825315.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,458209329.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,457464030.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,454458924.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,457944553.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,457394249.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,456653769.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,457533713.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,455116461.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,458184348.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,458350803.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,460839866.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,457461720.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,457406299.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,457883401.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,457915052.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,458866625.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,458976758.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,456054195.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,456573418.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,458282241.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,457841399.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,459310788.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,458850365.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,457447439.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,455479190.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,457095141.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,457053849.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,458321702.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,457262335.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,455108870.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,459947493.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,457470070.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,458938499.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,456772743.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,456886516.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,456529638.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,458111326.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,457351577.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,457766409.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,456715192.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,458026545.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,456849045.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,456918157.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,454702070.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,457570883.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,457996465.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,458423155.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,458254270.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,457752688.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,457317997.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,456429564.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,456928267.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,457862411.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,457910261.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,458585869.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,457494831.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,456725662.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,459513722.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,457072400.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,458554199.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,456324961.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,456696541.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,458227800.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,458617720.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,457452300.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,456328802.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,454839394.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,457375347.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,457526602.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,454318171.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,456089926.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,454414533.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,454797933.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,455664965.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,455096680.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,460119078.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,455100640.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,456715241.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,456461635.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,458310612.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,457752507.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,455846729.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,458064747.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,455132341.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,457518201.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,457951283.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,453964571.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,454810322.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,454619378.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,456239689.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,455957272.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,455378378.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,456263169.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,460342123.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,456435854.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,458242981.0,ns,1
batch,partitioned/gzip(6)_500000,,10000000,bytes,459574054.0,ns,1
