group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
batch,partitioned/none_500000,,10000000,bytes,40893298.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,40221621.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39160403.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39048530.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,38875387.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39499532.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,38882666.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,38899708.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39444451.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39380481.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,38936180.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,40108358.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,38860087.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39580974.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39237486.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39510053.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,40051968.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39372689.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,40066695.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39280477.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,38595040.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39034040.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39336829.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,40673401.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,40095588.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39291357.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39742519.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,38626720.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39663805.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39134883.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39146663.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,40008506.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39842681.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39138674.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39906973.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39186425.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39255406.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39029500.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39032252.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39412301.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,38532687.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39020811.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39645176.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,38895476.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39864672.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,38712323.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,38908958.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39767718.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39391289.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,38771554.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39468503.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39566584.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,38862696.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39428461.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39027501.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39506702.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,38672683.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39403859.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39614084.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,38794903.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,38729232.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39135923.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39026370.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39461861.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39077842.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39619876.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39542963.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39792341.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,38777045.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39269547.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39493383.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39248136.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39067442.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39296467.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,38554457.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39119332.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39311867.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,40088778.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39300136.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39812791.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39106602.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39548874.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39334258.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39509834.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39084532.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39889962.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,38949348.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39142553.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39744388.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39170383.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39347399.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,38617311.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39549903.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39848562.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39575264.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,38552619.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39343459.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,38746083.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,40093909.0,ns,3
batch,partitioned/none_500000,,10000000,bytes,39926293.0,ns,3
