group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,455036749.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,456266659.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,456272201.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,455059490.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,457101691.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,455812458.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,457705727.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,456043204.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,456562987.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,455152352.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,456327501.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,456157607.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,456011334.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,456329681.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,455725106.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,455653704.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,455574952.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,456169368.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,454861395.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,455873369.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,455068249.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,454534626.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,453508740.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,454655579.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,454549146.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,456302351.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,456038003.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,454812633.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,458246731.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,456171647.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,455987903.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,455331136.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,455873100.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,454631268.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,454078304.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,454937106.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,454894305.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,454293470.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,453983992.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,454972507.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,455144331.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,455277204.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,456169987.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,453204353.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,454017133.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,456162187.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,456432884.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,455404018.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,452901344.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,453882770.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,455329286.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,455444199.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,455933332.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,455338917.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,456076585.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,456241680.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,453400717.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,455215603.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,456212838.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,453723516.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,454882674.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,455053420.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,453045579.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,455842439.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,454781013.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,454728751.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,452494314.0,ns,1
batch,unpartitioned/gzip(6)_2000000,,10000000,bytes,455107851.0,ns,1
