group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
batch,unpartitioned/gzip(6)_500000,,10000000,bytes,449705053.0,ns,1
batch,unpartitioned/gzip(6)_500000,,10000000,bytes,448463202.0,ns,1
batch,unpartitioned/gzip(6)_500000,,10000000,bytes,448424491.0,ns,1
batch,unpartitioned/gzip(6)_500000,,10000000,bytes,448575654.0,ns,1
batch,unpartitioned/gzip(6)_500000,,10000000,bytes,449450988.0,ns,1
batch,unpartitioned/gzip(6)_500000,,10000000,bytes,447299042.0,ns,1
batch,unpartitioned/gzip(6)_500000,,10000000,bytes,449099978.0,ns,1
batch,unpartitioned/gzip(6)_500000,,10000000,bytes,449864908.0,ns,1
batch,unpartitioned/gzip(6)_500000,,10000000,bytes,448464881.0,ns,1
batch,unpartitioned/gzip(6)_500000,,10000000,bytes,449445867.0,ns,1
batch,unpartitioned/gzip(6)_500000,,10000000,bytes,449294283.0,ns,1
batch,unpartitioned/gzip(6)_500000,,10000000,bytes,451442208.0,ns,1
batch,unpartitioned/gzip(6)_500000,,10000000,bytes,450860523.0,ns,1
batch,unpartitioned/gzip(6)_500000,,10000000,bytes,448534683.0,ns,1
batch,unpartitioned/gzip(6)_500000,,10000000,bytes,447441026.0,ns,1
batch,unpartitioned/gzip(6)_500000,,10000000,bytes,448853731.0,ns,1
batch,unpartitioned/gzip(6)_500000,,10000000,bytes,447969320.0,ns,1
batch,unpartitioned/gzip(6)_500000,,10000000,bytes,449761705.0,ns,1
batch,unpartitioned/gzip(6)_500000,,10000000,bytes,449008547.0,ns,1
batch,unpartitioned/gzip(6)_500000,,10000000,bytes,448784150.0,ns,1
batch,unpartitioned/gzip(6)_500000,,10000000,bytes,449150169.0,ns,1
batch,unpartitioned/gzip(6)_500000,,10000000,bytes,449331334.0,ns,1
batch,unpartitioned/gzip(6)_500000,,10000000,bytes,449602281.0,ns,1
batch,unpartitioned/gzip(6)_500000,,10000000,bytes,450039323.0,ns,1
batch,unpartitioned/gzip(6)_500000,,10000000,bytes,450154674.0,ns,1
batch,unpartitioned/gzip(6)_500000,,10000000,bytes,449434967.0,ns,1
batch,unpartitioned/gzip(6)_500000,,10000000,bytes,448403670.0,ns,1
batch,unpartitioned/gzip(6)_500000,,10000000,bytes,448219346.0,ns,1
