group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
batch,unpartitioned/none_2000000,,10000000,bytes,31032169.0,ns,4
batch,unpartitioned/none_2000000,,10000000,bytes,30499414.0,ns,4
batch,unpartitioned/none_2000000,,10000000,bytes,31916980.0,ns,4
batch,unpartitioned/none_2000000,,10000000,bytes,30602217.0,ns,4
batch,unpartitioned/none_2000000,,10000000,bytes,31362696.0,ns,4
batch,unpartitioned/none_2000000,,10000000,bytes,31624904.0,ns,4
batch,unpartitioned/none_2000000,,10000000,bytes,31382707.0,ns,4
batch,unpartitioned/none_2000000,,10000000,bytes,31185471.0,ns,4
batch,unpartitioned/none_2000000,,10000000,bytes,31700575.0,ns,4
batch,unpartitioned/none_2000000,,10000000,bytes,31211832.0,ns,4
batch,unpartitioned/none_2000000,,10000000,bytes,31554181.0,ns,4
batch,unpartitioned/none_2000000,,10000000,bytes,30666619.0,ns,4
batch,unpartitioned/none_2000000,,10000000,bytes,30947966.0,ns,4
batch,unpartitioned/none_2000000,,10000000,bytes,31249723.0,ns,4
batch,unpartitioned/none_2000000,,10000000,bytes,31914919.0,ns,4
batch,unpartitioned/none_2000000,,10000000,bytes,30753689.0,ns,4
batch,unpartitioned/none_2000000,,10000000,bytes,31013468.0,ns,4
batch,unpartitioned/none_2000000,,10000000,bytes,31094198.0,ns,4
batch,unpartitioned/none_2000000,,10000000,bytes,32208666.0,ns,4
batch,unpartitioned/none_2000000,,10000000,bytes,31157621.0,ns,4
batch,unpartitioned/none_2000000,,10000000,bytes,30218566.0,ns,4
batch,unpartitioned/none_2000000,,10000000,bytes,30642718.0,ns,4
batch,unpartitioned/none_2000000,,10000000,bytes,31480070.0,ns,4
batch,unpartitioned/none_2000000,,10000000,bytes,30771743.0,ns,4
batch,unpartitioned/none_2000000,,10000000,bytes,32140896.0,ns,4
batch,unpartitioned/none_2000000,,10000000,bytes,31605063.0,ns,4
batch,unpartitioned/none_2000000,,10000000,bytes,31579382.0,ns,4
batch,unpartitioned/none_2000000,,10000000,bytes,31058029.0,ns,4
batch,unpartitioned/none_2000000,,10000000,bytes,31437059.0,ns,4
batch,unpartitioned/none_2000000,,10000000,bytes,31014207.0,ns,4
batch,unpartitioned/none_2000000,,10000000,bytes,30897075.0,ns,4
batch,unpartitioned/none_2000000,,10000000,bytes,31004777.0,ns,4
batch,unpartitioned/none_2000000,,10000000,bytes,31207491.0,ns,4
batch,unpartitioned/none_2000000,,10000000,bytes,32304111.0,ns,4
batch,unpartitioned/none_2000000,,10000000,bytes,31329415.0,ns,4
batch,unpartitioned/none_2000000,,10000000,bytes,31688335.0,ns,4
batch,unpartitioned/none_2000000,,10000000,bytes,31598603.0,ns,4
batch,unpartitioned/none_2000000,,10000000,bytes,30602147.0,ns,4
batch,unpartitioned/none_2000000,,10000000,bytes,30794053.0,ns,4
