group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
event/create,array,,,,984445.0,ns,1469
event/create,array,,,,2022941.0,ns,2938
event/create,array,,,,3000126.0,ns,4407
event/create,array,,,,3966331.0,ns,5876
event/create,array,,,,5005346.0,ns,7345
event/create,array,,,,6015693.0,ns,8814
event/create,array,,,,7073680.0,ns,10283
event/create,array,,,,8193828.0,ns,11752
event/create,array,,,,9075890.0,ns,13221
event/create,array,,,,10074026.0,ns,14690
event/create,array,,,,10973638.0,ns,16159
event/create,array,,,,11995784.0,ns,17628
event/create,array,,,,13000720.0,ns,19097
event/create,array,,,,14166780.0,ns,20566
event/create,array,,,,15206766.0,ns,22035
event/create,array,,,,16192371.0,ns,23504
event/create,array,,,,17252138.0,ns,24973
event/create,array,,,,18072199.0,ns,26442
event/create,array,,,,18864019.0,ns,27911
event/create,array,,,,20080449.0,ns,29380
event/create,array,,,,21067135.0,ns,30849
event/create,array,,,,22107751.0,ns,32318
event/create,array,,,,22880050.0,ns,33787
event/create,array,,,,23946448.0,ns,35256
event/create,array,,,,25040396.0,ns,36725
event/create,array,,,,26193325.0,ns,38194
event/create,array,,,,27159379.0,ns,39663
event/create,array,,,,27952999.0,ns,41132
event/create,array,,,,29241262.0,ns,42601
event/create,array,,,,29924620.0,ns,44070
event/create,array,,,,31273143.0,ns,45539
event/create,array,,,,32211808.0,ns,47008
event/create,array,,,,33364697.0,ns,48477
event/create,array,,,,34377333.0,ns,49946
event/create,array,,,,35473500.0,ns,51415
event/create,array,,,,36207279.0,ns,52884
event/create,array,,,,37130622.0,ns,54353
event/create,array,,,,38177899.0,ns,55822
event/create,array,,,,38926288.0,ns,57291
event/create,array,,,,40275152.0,ns,58760
event/create,array,,,,41180145.0,ns,60229
event/create,array,,,,42180011.0,ns,61698
event/create,array,,,,43614697.0,ns,63167
event/create,array,,,,44487559.0,ns,64636
event/create,array,,,,45000282.0,ns,66105
event/create,array,,,,46242104.0,ns,67574
event/create,array,,,,47408163.0,ns,69043
event/create,array,,,,48314246.0,ns,70512
event/create,array,,,,49400514.0,ns,71981
event/create,array,,,,50322687.0,ns,73450
event/create,array,,,,51335653.0,ns,74919
event/create,array,,,,52198595.0,ns,76388
event/create,array,,,,53204140.0,ns,77857
event/create,array,,,,54301448.0,ns,79326
event/create,array,,,,55220842.0,ns,80795
event/create,array,,,,56667748.0,ns,82264
event/create,array,,,,57185441.0,ns,83733
event/create,array,,,,58208928.0,ns,85202
event/create,array,,,,59041898.0,ns,86671
event/create,array,,,,60205658.0,ns,88140
event/create,array,,,,61585193.0,ns,89609
event/create,array,,,,62205119.0,ns,91078
event/create,array,,,,63327387.0,ns,92547
event/create,array,,,,64416895.0,ns,94016
event/create,array,,,,65281557.0,ns,95485
event/create,array,,,,66005495.0,ns,96954
event/create,array,,,,67098933.0,ns,98423
event/create,array,,,,67764460.0,ns,99892
event/create,array,,,,69053022.0,ns,101361
event/create,array,,,,70142381.0,ns,102830
event/create,array,,,,71073533.0,ns,104299
event/create,array,,,,71798253.0,ns,105768
event/create,array,,,,72978922.0,ns,107237
event/create,array,,,,74018248.0,ns,108706
event/create,array,,,,75281961.0,ns,110175
event/create,array,,,,75873306.0,ns,111644
event/create,array,,,,76834299.0,ns,113113
event/create,array,,,,77608840.0,ns,114582
event/create,array,,,,78920554.0,ns,116051
event/create,array,,,,80185925.0,ns,117520
event/create,array,,,,80875282.0,ns,118989
event/create,array,,,,81772086.0,ns,120458
event/create,array,,,,82880783.0,ns,121927
event/create,array,,,,84255858.0,ns,123396
event/create,array,,,,84751882.0,ns,124865
event/create,array,,,,85885929.0,ns,126334
event/create,array,,,,86324661.0,ns,127803
event/create,array,,,,87514851.0,ns,129272
event/create,array,,,,89519182.0,ns,130741
event/create,array,,,,90055276.0,ns,132210
event/create,array,,,,91242086.0,ns,133679
event/create,array,,,,91231905.0,ns,135148
event/create,array,,,,92713113.0,ns,136617
event/create,array,,,,93713238.0,ns,138086
event/create,array,,,,94911789.0,ns,139555
event/create,array,,,,95741080.0,ns,141024
event/create,array,,,,96390586.0,ns,142493
event/create,array,,,,97328121.0,ns,143962
event/create,array,,,,98380617.0,ns,145431
event/create,array,,,,99590837.0,ns,146900
