group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
event/create,single-level,,,,1001045.0,ns,2487
event/create,single-level,,,,2012801.0,ns,4974
event/create,single-level,,,,3032747.0,ns,7461
event/create,single-level,,,,3992192.0,ns,9948
event/create,single-level,,,,5030637.0,ns,12435
event/create,single-level,,,,5864389.0,ns,14922
event/create,single-level,,,,7027118.0,ns,17409
event/create,single-level,,,,7997373.0,ns,19896
event/create,single-level,,,,8947477.0,ns,22383
event/create,single-level,,,,9924102.0,ns,24870
event/create,single-level,,,,10996080.0,ns,27357
event/create,single-level,,,,11912561.0,ns,29844
event/create,single-level,,,,12925039.0,ns,32331
event/create,single-level,,,,13972924.0,ns,34818
event/create,single-level,,,,14828747.0,ns,37305
event/create,single-level,,,,15920393.0,ns,39792
event/create,single-level,,,,16960561.0,ns,42279
event/create,single-level,,,,17985357.0,ns,44766
event/create,single-level,,,,19004032.0,ns,47253
event/create,single-level,,,,20006868.0,ns,49740
event/create,single-level,,,,20983942.0,ns,52227
event/create,single-level,,,,22047350.0,ns,54714
event/create,single-level,,,,23050005.0,ns,57201
event/create,single-level,,,,23741703.0,ns,59688
event/create,single-level,,,,24899871.0,ns,62175
event/create,single-level,,,,25901178.0,ns,64662
event/create,single-level,,,,26959884.0,ns,67149
event/create,single-level,,,,27872597.0,ns,69636
event/create,single-level,,,,28916264.0,ns,72123
event/create,single-level,,,,29774006.0,ns,74610
event/create,single-level,,,,30901574.0,ns,77097
event/create,single-level,,,,31834908.0,ns,79584
event/create,single-level,,,,32951976.0,ns,82071
event/create,single-level,,,,33902651.0,ns,84558
event/create,single-level,,,,34873065.0,ns,87045
event/create,single-level,,,,36005344.0,ns,89532
event/create,single-level,,,,36941327.0,ns,92019
event/create,single-level,,,,38068066.0,ns,94506
event/create,single-level,,,,38966220.0,ns,96993
event/create,single-level,,,,39885482.0,ns,99480
event/create,single-level,,,,40871277.0,ns,101967
event/create,single-level,,,,41810571.0,ns,104454
event/create,single-level,,,,43041903.0,ns,106941
event/create,single-level,,,,43857563.0,ns,109428
event/create,single-level,,,,44904640.0,ns,111915
event/create,single-level,,,,45717100.0,ns,114402
event/create,single-level,,,,46856809.0,ns,116889
event/create,single-level,,,,47850904.0,ns,119376
event/create,single-level,,,,48680626.0,ns,121863
event/create,single-level,,,,50038630.0,ns,124350
event/create,single-level,,,,50930033.0,ns,126837
event/create,single-level,,,,51889027.0,ns,129324
event/create,single-level,,,,52824220.0,ns,131811
event/create,single-level,,,,53406646.0,ns,134298
event/create,single-level,,,,54829771.0,ns,136785
event/create,single-level,,,,55669083.0,ns,139272
event/create,single-level,,,,56872513.0,ns,141759
event/create,single-level,,,,57806027.0,ns,144246
event/create,single-level,,,,58820263.0,ns,146733
event/create,single-level,,,,60247879.0,ns,149220
event/create,single-level,,,,60921086.0,ns,151707
event/create,single-level,,,,62025815.0,ns,154194
event/create,single-level,,,,63130932.0,ns,156681
event/create,single-level,,,,63304907.0,ns,159168
event/create,single-level,,,,64461826.0,ns,161655
event/create,single-level,,,,66247821.0,ns,164142
event/create,single-level,,,,67361570.0,ns,166629
event/create,single-level,,,,67826251.0,ns,169116
event/create,single-level,,,,69116675.0,ns,171603
event/create,single-level,,,,70329164.0,ns,174090
event/create,single-level,,,,70714025.0,ns,176577
event/create,single-level,,,,71760211.0,ns,179064
event/create,single-level,,,,72935262.0,ns,181551
event/create,single-level,,,,73508975.0,ns,184038
event/create,single-level,,,,74843859.0,ns,186525
event/create,single-level,,,,75267441.0,ns,189012
event/create,single-level,,,,77022885.0,ns,191499
event/create,single-level,,,,78181824.0,ns,193986
event/create,single-level,,,,78956184.0,ns,196473
event/create,single-level,,,,80228226.0,ns,198960
event/create,single-level,,,,81147649.0,ns,201447
event/create,single-level,,,,81503049.0,ns,203934
event/create,single-level,,,,82594506.0,ns,206421
event/create,single-level,,,,83850738.0,ns,208908
event/create,single-level,,,,85004828.0,ns,211395
event/create,single-level,,,,85687044.0,ns,213882
event/create,single-level,,,,86876555.0,ns,216369
event/create,single-level,,,,87851320.0,ns,218856
event/create,single-level,,,,88444485.0,ns,221343
event/create,single-level,,,,89381029.0,ns,223830
event/create,single-level,,,,90489656.0,ns,226317
event/create,single-level,,,,91637326.0,ns,228804
event/create,single-level,,,,93024951.0,ns,231291
event/create,single-level,,,,94487927.0,ns,233778
event/create,single-level,,,,95271199.0,ns,236265
event/create,single-level,,,,95750660.0,ns,238752
event/create,single-level,,,,96561171.0,ns,241239
event/create,single-level,,,,97695139.0,ns,243726
event/create,single-level,,,,98712485.0,ns,246213
event/create,single-level,,,,100571073.0,ns,248700
