group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
event/iterate,array,,,,155660.0,ns,317
event/iterate,array,,,,308240.0,ns,634
event/iterate,array,,,,452450.0,ns,951
event/iterate,array,,,,600016.0,ns,1268
event/iterate,array,,,,785160.0,ns,1585
event/iterate,array,,,,927765.0,ns,1902
event/iterate,array,,,,1067719.0,ns,2219
event/iterate,array,,,,1213261.0,ns,2536
event/iterate,array,,,,1407826.0,ns,2853
event/iterate,array,,,,1510048.0,ns,3170
event/iterate,array,,,,1722604.0,ns,3487
event/iterate,array,,,,1811378.0,ns,3804
event/iterate,array,,,,1977560.0,ns,4121
event/iterate,array,,,,2167965.0,ns,4438
event/iterate,array,,,,2300519.0,ns,4755
event/iterate,array,,,,2473585.0,ns,5072
event/iterate,array,,,,2643498.0,ns,5389
event/iterate,array,,,,2737880.0,ns,5706
event/iterate,array,,,,2918674.0,ns,6023
event/iterate,array,,,,3060389.0,ns,6340
event/iterate,array,,,,3244793.0,ns,6657
event/iterate,array,,,,3402967.0,ns,6974
event/iterate,array,,,,3532168.0,ns,7291
event/iterate,array,,,,3714945.0,ns,7608
event/iterate,array,,,,3870048.0,ns,7925
event/iterate,array,,,,4015262.0,ns,8242
event/iterate,array,,,,4135014.0,ns,8559
event/iterate,array,,,,4252319.0,ns,8876
event/iterate,array,,,,4413372.0,ns,9193
event/iterate,array,,,,4557775.0,ns,9510
event/iterate,array,,,,4658018.0,ns,9827
event/iterate,array,,,,5007647.0,ns,10144
event/iterate,array,,,,5063680.0,ns,10461
event/iterate,array,,,,5192361.0,ns,10778
event/iterate,array,,,,5361616.0,ns,11095
event/iterate,array,,,,5569241.0,ns,11412
event/iterate,array,,,,5720695.0,ns,11729
event/iterate,array,,,,5793878.0,ns,12046
event/iterate,array,,,,5946942.0,ns,12363
event/iterate,array,,,,6133787.0,ns,12680
event/iterate,array,,,,6287900.0,ns,12997
event/iterate,array,,,,6510744.0,ns,13314
event/iterate,array,,,,6557887.0,ns,13631
event/iterate,array,,,,6796903.0,ns,13948
event/iterate,array,,,,6846673.0,ns,14265
event/iterate,array,,,,7007949.0,ns,14582
event/iterate,array,,,,7176051.0,ns,14899
event/iterate,array,,,,7393718.0,ns,15216
event/iterate,array,,,,7434219.0,ns,15533
event/iterate,array,,,,7902870.0,ns,15850
event/iterate,array,,,,7792657.0,ns,16167
event/iterate,array,,,,8024835.0,ns,16484
event/iterate,array,,,,8163578.0,ns,16801
event/iterate,array,,,,8332571.0,ns,17118
event/iterate,array,,,,8451573.0,ns,17435
event/iterate,array,,,,8627287.0,ns,17752
event/iterate,array,,,,8672760.0,ns,18069
event/iterate,array,,,,8843056.0,ns,18386
event/iterate,array,,,,8958459.0,ns,18703
event/iterate,array,,,,9123662.0,ns,19020
event/iterate,array,,,,9375778.0,ns,19337
event/iterate,array,,,,9590402.0,ns,19654
event/iterate,array,,,,9790398.0,ns,19971
event/iterate,array,,,,9722385.0,ns,20288
event/iterate,array,,,,9954944.0,ns,20605
event/iterate,array,,,,10060255.0,ns,20922
event/iterate,array,,,,10344923.0,ns,21239
event/iterate,array,,,,10278512.0,ns,21556
event/iterate,array,,,,10654050.0,ns,21873
event/iterate,array,,,,10749962.0,ns,22190
event/iterate,array,,,,10845845.0,ns,22507
event/iterate,array,,,,11032660.0,ns,22824
event/iterate,array,,,,11159603.0,ns,23141
event/iterate,array,,,,11328167.0,ns,23458
event/iterate,array,,,,11494471.0,ns,23775
event/iterate,array,,,,11646776.0,ns,24092
event/iterate,array,,,,11760239.0,ns,24409
event/iterate,array,,,,11924833.0,ns,24726
event/iterate,array,,,,12161798.0,ns,25043
event/iterate,array,,,,12161118.0,ns,25360
event/iterate,array,,,,12322163.0,ns,25677
event/iterate,array,,,,12450417.0,ns,25994
event/iterate,array,,,,12865246.0,ns,26311
event/iterate,array,,,,12851676.0,ns,26628
event/iterate,array,,,,13138184.0,ns,26945
event/iterate,array,,,,13342769.0,ns,27262
event/iterate,array,,,,13400659.0,ns,27579
event/iterate,array,,,,13455470.0,ns,27896
event/iterate,array,,,,13700867.0,ns,28213
event/iterate,array,,,,13855241.0,ns,28530
event/iterate,array,,,,14053475.0,ns,28847
event/iterate,array,,,,14119507.0,ns,29164
event/iterate,array,,,,14294812.0,ns,29481
event/iterate,array,,,,14396584.0,ns,29798
event/iterate,array,,,,14657842.0,ns,30115
event/iterate,array,,,,14834427.0,ns,30432
event/iterate,array,,,,15134855.0,ns,30749
event/iterate,array,,,,15160794.0,ns,31066
event/iterate,array,,,,15224227.0,ns,31383
event/iterate,array,,,,15471081.0,ns,31700
