group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
event/iterate,single-level,,,,75751.0,ns,369
event/iterate,single-level,,,,159974.0,ns,738
event/iterate,single-level,,,,223009.0,ns,1107
event/iterate,single-level,,,,297280.0,ns,1476
event/iterate,single-level,,,,376601.0,ns,1845
event/iterate,single-level,,,,451870.0,ns,2214
event/iterate,single-level,,,,518517.0,ns,2583
event/iterate,single-level,,,,601307.0,ns,2952
event/iterate,single-level,,,,685429.0,ns,3321
event/iterate,single-level,,,,754659.0,ns,3690
event/iterate,single-level,,,,858163.0,ns,4059
event/iterate,single-level,,,,964873.0,ns,4428
event/iterate,single-level,,,,988725.0,ns,4797
event/iterate,single-level,,,,1076776.0,ns,5166
event/iterate,single-level,,,,1161710.0,ns,5535
event/iterate,single-level,,,,1239933.0,ns,5904
event/iterate,single-level,,,,1321083.0,ns,6273
event/iterate,single-level,,,,1406013.0,ns,6642
event/iterate,single-level,,,,1515957.0,ns,7011
event/iterate,single-level,,,,1580871.0,ns,7380
event/iterate,single-level,,,,1724074.0,ns,7749
event/iterate,single-level,,,,1706004.0,ns,8118
event/iterate,single-level,,,,1796924.0,ns,8487
event/iterate,single-level,,,,1878884.0,ns,8856
event/iterate,single-level,,,,1989451.0,ns,9225
event/iterate,single-level,,,,2059622.0,ns,9594
event/iterate,single-level,,,,2134376.0,ns,9963
event/iterate,single-level,,,,2215983.0,ns,10332
event/iterate,single-level,,,,2259906.0,ns,10701
event/iterate,single-level,,,,2351549.0,ns,11070
event/iterate,single-level,,,,2424152.0,ns,11439
event/iterate,single-level,,,,2496741.0,ns,11808
event/iterate,single-level,,,,2592702.0,ns,12177
event/iterate,single-level,,,,2648312.0,ns,12546
event/iterate,single-level,,,,2761899.0,ns,12915
event/iterate,single-level,,,,2819023.0,ns,13284
event/iterate,single-level,,,,2910093.0,ns,13653
event/iterate,single-level,,,,2968744.0,ns,14022
event/iterate,single-level,,,,3045125.0,ns,14391
event/iterate,single-level,,,,3134009.0,ns,14760
event/iterate,single-level,,,,3190170.0,ns,15129
event/iterate,single-level,,,,3304444.0,ns,15498
event/iterate,single-level,,,,3361783.0,ns,15867
event/iterate,single-level,,,,3400202.0,ns,16236
event/iterate,single-level,,,,3477168.0,ns,16605
event/iterate,single-level,,,,3633222.0,ns,16974
event/iterate,single-level,,,,3727716.0,ns,17343
event/iterate,single-level,,,,3744485.0,ns,17712
event/iterate,single-level,,,,3822848.0,ns,18081
event/iterate,single-level,,,,3857348.0,ns,18450
event/iterate,single-level,,,,3932171.0,ns,18819
event/iterate,single-level,,,,4030811.0,ns,19188
event/iterate,single-level,,,,4108333.0,ns,19557
event/iterate,single-level,,,,4197846.0,ns,19926
event/iterate,single-level,,,,4254688.0,ns,20295
event/iterate,single-level,,,,4370659.0,ns,20664
event/iterate,single-level,,,,4388910.0,ns,21033
event/iterate,single-level,,,,4460485.0,ns,21402
event/iterate,single-level,,,,4672247.0,ns,21771
event/iterate,single-level,,,,4658799.0,ns,22140
event/iterate,single-level,,,,4714231.0,ns,22509
event/iterate,single-level,,,,4932105.0,ns,22878
event/iterate,single-level,,,,4915917.0,ns,23247
event/iterate,single-level,,,,5101400.0,ns,23616
event/iterate,single-level,,,,5036250.0,ns,23985
event/iterate,single-level,,,,5169760.0,ns,24354
event/iterate,single-level,,,,5266404.0,ns,24723
event/iterate,single-level,,,,5335484.0,ns,25092
event/iterate,single-level,,,,5373816.0,ns,25461
event/iterate,single-level,,,,5452149.0,ns,25830
event/iterate,single-level,,,,5541272.0,ns,26199
event/iterate,single-level,,,,5580581.0,ns,26568
event/iterate,single-level,,,,5611413.0,ns,26937
event/iterate,single-level,,,,5718027.0,ns,27306
event/iterate,single-level,,,,5845979.0,ns,27675
event/iterate,single-level,,,,5980102.0,ns,28044
event/iterate,single-level,,,,5950331.0,ns,28413
event/iterate,single-level,,,,6008894.0,ns,28782
event/iterate,single-level,,,,6157416.0,ns,29151
event/iterate,single-level,,,,6290240.0,ns,29520
event/iterate,single-level,,,,6235117.0,ns,29889
event/iterate,single-level,,,,6380820.0,ns,30258
event/iterate,single-level,,,,6468094.0,ns,30627
event/iterate,single-level,,,,6467371.0,ns,30996
event/iterate,single-level,,,,6531937.0,ns,31365
event/iterate,single-level,,,,6705421.0,ns,31734
event/iterate,single-level,,,,6758992.0,ns,32103
event/iterate,single-level,,,,6818974.0,ns,32472
event/iterate,single-level,,,,6886864.0,ns,32841
event/iterate,single-level,,,,6962374.0,ns,33210
event/iterate,single-level,,,,7025389.0,ns,33579
event/iterate,single-level,,,,7149821.0,ns,33948
event/iterate,single-level,,,,7233243.0,ns,34317
event/iterate,single-level,,,,7251074.0,ns,34686
event/iterate,single-level,,,,7478012.0,ns,35055
event/iterate,single-level,,,,7393229.0,ns,35424
event/iterate,single-level,,,,7465450.0,ns,35793
event/iterate,single-level,,,,7678186.0,ns,36162
event/iterate,single-level,,,,7628785.0,ns,36531
event/iterate,single-level,,,,7816278.0,ns,36900
