group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
files,no_partitions,,1000000,bytes,47761962.0,ns,3
files,no_partitions,,1000000,bytes,47437445.0,ns,3
files,no_partitions,,1000000,bytes,46120300.0,ns,3
files,no_partitions,,1000000,bytes,44650224.0,ns,3
files,no_partitions,,1000000,bytes,48947723.0,ns,3
files,no_partitions,,1000000,bytes,46644794.0,ns,3
files,no_partitions,,1000000,bytes,45759742.0,ns,3
files,no_partitions,,1000000,bytes,47533256.0,ns,3
files,no_partitions,,1000000,bytes,49092475.0,ns,3
files,no_partitions,,1000000,bytes,48000107.0,ns,3
files,no_partitions,,1000000,bytes,48642886.0,ns,3
files,no_partitions,,1000000,bytes,50241755.0,ns,3
files,no_partitions,,1000000,bytes,48559622.0,ns,3
files,no_partitions,,1000000,bytes,49404773.0,ns,3
files,no_partitions,,1000000,bytes,47845055.0,ns,3
files,no_partitions,,1000000,bytes,49529496.0,ns,3
files,no_partitions,,1000000,bytes,46134521.0,ns,3
files,no_partitions,,1000000,bytes,47044724.0,ns,3
files,no_partitions,,1000000,bytes,47816664.0,ns,3
files,no_partitions,,1000000,bytes,46838080.0,ns,3
files,no_partitions,,1000000,bytes,48062980.0,ns,3
files,no_partitions,,1000000,bytes,44906929.0,ns,3
files,no_partitions,,1000000,bytes,47193479.0,ns,3
files,no_partitions,,1000000,bytes,49499607.0,ns,3
files,no_partitions,,1000000,bytes,49035064.0,ns,3
files,no_partitions,,1000000,bytes,48723587.0,ns,3
files,no_partitions,,1000000,bytes,46618723.0,ns,3
files,no_partitions,,1000000,bytes,48702225.0,ns,3
files,no_partitions,,1000000,bytes,47339393.0,ns,3
files,no_partitions,,1000000,bytes,48903151.0,ns,3
files,no_partitions,,1000000,bytes,47222178.0,ns,3
files,no_partitions,,1000000,bytes,50081001.0,ns,3
files,no_partitions,,1000000,bytes,46001997.0,ns,3
files,no_partitions,,1000000,bytes,45829534.0,ns,3
files,no_partitions,,1000000,bytes,48639675.0,ns,3
files,no_partitions,,1000000,bytes,48598174.0,ns,3
files,no_partitions,,1000000,bytes,47071315.0,ns,3
