group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
http,compression,gzip(6),100000,bytes,1009334150.0,ns,1
http,compression,gzip(6),100000,bytes,1009725178.0,ns,1
http,compression,gzip(6),100000,bytes,1008387617.0,ns,1
http,compression,gzip(6),100000,bytes,1010443353.0,ns,1
http,compression,gzip(6),100000,bytes,1009722068.0,ns,1
http,compression,gzip(6),100000,bytes,1007607574.0,ns,1
http,compression,gzip(6),100000,bytes,1010079487.0,ns,1
http,compression,gzip(6),100000,bytes,1010513100.0,ns,1
http,compression,gzip(6),100000,bytes,1009075778.0,ns,1
http,compression,gzip(6),100000,bytes,1010315522.0,ns,1
http,compression,gzip(6),100000,bytes,1008723168.0,ns,1
http,compression,gzip(6),100000,bytes,1009710072.0,ns,1
http,compression,gzip(6),100000,bytes,1009431224.0,ns,1
http,compression,gzip(6),100000,bytes,1007722581.0,ns,1
http,compression,gzip(6),100000,bytes,1010413196.0,ns,1
http,compression,gzip(6),100000,bytes,1008945015.0,ns,1
http,compression,gzip(6),100000,bytes,1009724810.0,ns,1
http,compression,gzip(6),100000,bytes,1009352034.0,ns,1
http,compression,gzip(6),100000,bytes,1008510728.0,ns,1
http,compression,gzip(6),100000,bytes,1009473543.0,ns,1
http,compression,gzip(6),100000,bytes,1008265944.0,ns,1
http,compression,gzip(6),100000,bytes,1010077017.0,ns,1
http,compression,gzip(6),100000,bytes,1012340155.0,ns,1
http,compression,gzip(6),100000,bytes,1010034037.0,ns,1
http,compression,gzip(6),100000,bytes,1009971131.0,ns,1
http,compression,gzip(6),100000,bytes,1009611045.0,ns,1
http,compression,gzip(6),100000,bytes,1010116675.0,ns,1
http,compression,gzip(6),100000,bytes,1010007018.0,ns,1
http,compression,gzip(6),100000,bytes,1008019906.0,ns,1
http,compression,gzip(6),100000,bytes,1009139538.0,ns,1
http,compression,gzip(6),100000,bytes,1008097536.0,ns,1
http,compression,gzip(6),100000,bytes,1009493222.0,ns,1
http,compression,gzip(6),100000,bytes,1010231373.0,ns,1
http,compression,gzip(6),100000,bytes,1010140902.0,ns,1
http,compression,gzip(6),100000,bytes,1009080603.0,ns,1
http,compression,gzip(6),100000,bytes,1008871330.0,ns,1
http,compression,gzip(6),100000,bytes,1010723013.0,ns,1
http,compression,gzip(6),100000,bytes,1012056743.0,ns,1
http,compression,gzip(6),100000,bytes,1008621886.0,ns,1
http,compression,gzip(6),100000,bytes,1009458068.0,ns,1
http,compression,gzip(6),100000,bytes,1009809161.0,ns,1
http,compression,gzip(6),100000,bytes,1009440974.0,ns,1
http,compression,gzip(6),100000,bytes,1009109535.0,ns,1
http,compression,gzip(6),100000,bytes,1008471064.0,ns,1
http,compression,gzip(6),100000,bytes,1007710864.0,ns,1
http,compression,gzip(6),100000,bytes,1009473504.0,ns,1
http,compression,gzip(6),100000,bytes,1008743368.0,ns,1
http,compression,gzip(6),100000,bytes,1008972075.0,ns,1
http,compression,gzip(6),100000,bytes,1009257090.0,ns,1
http,compression,gzip(6),100000,bytes,1009272318.0,ns,1
http,compression,gzip(6),100000,bytes,1011895462.0,ns,1
http,compression,gzip(6),100000,bytes,1008973588.0,ns,1
http,compression,gzip(6),100000,bytes,1010824316.0,ns,1
http,compression,gzip(6),100000,bytes,1009259000.0,ns,1
http,compression,gzip(6),100000,bytes,1009704072.0,ns,1
http,compression,gzip(6),100000,bytes,1009449352.0,ns,1
http,compression,gzip(6),100000,bytes,1008659721.0,ns,1
http,compression,gzip(6),100000,bytes,1008973383.0,ns,1
http,compression,gzip(6),100000,bytes,1010044836.0,ns,1
http,compression,gzip(6),100000,bytes,1009016014.0,ns,1
http,compression,gzip(6),100000,bytes,1010744342.0,ns,1
http,compression,gzip(6),100000,bytes,1008920687.0,ns,1
http,compression,gzip(6),100000,bytes,1009689116.0,ns,1
http,compression,gzip(6),100000,bytes,1009552759.0,ns,1
http,compression,gzip(6),100000,bytes,1009710343.0,ns,1
http,compression,gzip(6),100000,bytes,1008202941.0,ns,1
http,compression,gzip(6),100000,bytes,1009772899.0,ns,1
http,compression,gzip(6),100000,bytes,1008675884.0,ns,1
http,compression,gzip(6),100000,bytes,1010778656.0,ns,1
http,compression,gzip(6),100000,bytes,1008543721.0,ns,1
http,compression,gzip(6),100000,bytes,1008505592.0,ns,1
http,compression,gzip(6),100000,bytes,1008192650.0,ns,1
http,compression,gzip(6),100000,bytes,1009813986.0,ns,1
http,compression,gzip(6),100000,bytes,1009897149.0,ns,1
http,compression,gzip(6),100000,bytes,1009813898.0,ns,1
http,compression,gzip(6),100000,bytes,1009043395.0,ns,1
http,compression,gzip(6),100000,bytes,1008939528.0,ns,1
http,compression,gzip(6),100000,bytes,1010978564.0,ns,1
http,compression,gzip(6),100000,bytes,1008298622.0,ns,1
http,compression,gzip(6),100000,bytes,1008307562.0,ns,1
http,compression,gzip(6),100000,bytes,1010508297.0,ns,1
http,compression,gzip(6),100000,bytes,1010724422.0,ns,1
http,compression,gzip(6),100000,bytes,1009089218.0,ns,1
http,compression,gzip(6),100000,bytes,1009341446.0,ns,1
http,compression,gzip(6),100000,bytes,1008003116.0,ns,1
http,compression,gzip(6),100000,bytes,1010598220.0,ns,1
http,compression,gzip(6),100000,bytes,1010456324.0,ns,1
http,compression,gzip(6),100000,bytes,1010465053.0,ns,1
http,compression,gzip(6),100000,bytes,1011098816.0,ns,1
http,compression,gzip(6),100000,bytes,1010268432.0,ns,1
http,compression,gzip(6),100000,bytes,1010350034.0,ns,1
http,compression,gzip(6),100000,bytes,1010664253.0,ns,1
http,compression,gzip(6),100000,bytes,1009868699.0,ns,1
http,compression,gzip(6),100000,bytes,1009514636.0,ns,1
http,compression,gzip(6),100000,bytes,1010007929.0,ns,1
http,compression,gzip(6),100000,bytes,1007727392.0,ns,1
http,compression,gzip(6),100000,bytes,1008776936.0,ns,1
http,compression,gzip(6),100000,bytes,1009447193.0,ns,1
http,compression,gzip(6),100000,bytes,1009549092.0,ns,1
http,compression,gzip(6),100000,bytes,1009845568.0,ns,1
