group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
lua/add_fields,native,,1,elements,633004.0,ns,885
lua/add_fields,native,,1,elements,1215631.0,ns,1770
lua/add_fields,native,,1,elements,15881670.0,ns,2655
lua/add_fields,native,,1,elements,2489531.0,ns,3540
lua/add_fields,native,,1,elements,3042997.0,ns,4425
lua/add_fields,native,,1,elements,3639563.0,ns,5310
lua/add_fields,native,,1,elements,4259548.0,ns,6195
lua/add_fields,native,,1,elements,4920853.0,ns,7080
lua/add_fields,native,,1,elements,5511659.0,ns,7965
lua/add_fields,native,,1,elements,6123275.0,ns,8850
lua/add_fields,native,,1,elements,6796502.0,ns,9735
lua/add_fields,native,,1,elements,7268584.0,ns,10620
lua/add_fields,native,,1,elements,7957561.0,ns,11505
lua/add_fields,native,,1,elements,8656600.0,ns,12390
lua/add_fields,native,,1,elements,9149453.0,ns,13275
lua/add_fields,native,,1,elements,9866281.0,ns,14160
lua/add_fields,native,,1,elements,10294900.0,ns,15045
lua/add_fields,native,,1,elements,11040360.0,ns,15930
lua/add_fields,native,,1,elements,11481873.0,ns,16815
lua/add_fields,native,,1,elements,12143569.0,ns,17700
lua/add_fields,native,,1,elements,12693672.0,ns,18585
lua/add_fields,native,,1,elements,13307807.0,ns,19470
lua/add_fields,native,,1,elements,13959167.0,ns,20355
lua/add_fields,native,,1,elements,14567368.0,ns,21240
lua/add_fields,native,,1,elements,15370590.0,ns,22125
lua/add_fields,native,,1,elements,15725692.0,ns,23010
lua/add_fields,native,,1,elements,16426185.0,ns,23895
lua/add_fields,native,,1,elements,17043631.0,ns,24780
lua/add_fields,native,,1,elements,17928615.0,ns,25665
lua/add_fields,native,,1,elements,18460296.0,ns,26550
lua/add_fields,native,,1,elements,19070460.0,ns,27435
lua/add_fields,native,,1,elements,19300920.0,ns,28320
lua/add_fields,native,,1,elements,20035928.0,ns,29205
lua/add_fields,native,,1,elements,20603871.0,ns,30090
lua/add_fields,native,,1,elements,21346740.0,ns,30975
lua/add_fields,native,,1,elements,21960861.0,ns,31860
lua/add_fields,native,,1,elements,22847021.0,ns,32745
lua/add_fields,native,,1,elements,23154196.0,ns,33630
lua/add_fields,native,,1,elements,23696380.0,ns,34515
