group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
lua/add_fields,v1,,1,elements,979445.0,ns,280
lua/add_fields,v1,,1,elements,1755754.0,ns,560
lua/add_fields,v1,,1,elements,2634426.0,ns,840
lua/add_fields,v1,,1,elements,3503978.0,ns,1120
lua/add_fields,v1,,1,elements,4394040.0,ns,1400
lua/add_fields,v1,,1,elements,5419878.0,ns,1680
lua/add_fields,v1,,1,elements,6138467.0,ns,1960
lua/add_fields,v1,,1,elements,7130970.0,ns,2240
lua/add_fields,v1,,1,elements,8004133.0,ns,2520
lua/add_fields,v1,,1,elements,8896136.0,ns,2800
lua/add_fields,v1,,1,elements,9664637.0,ns,3080
lua/add_fields,v1,,1,elements,10585369.0,ns,3360
lua/add_fields,v1,,1,elements,11603635.0,ns,3640
lua/add_fields,v1,,1,elements,12303070.0,ns,3920
lua/add_fields,v1,,1,elements,13196634.0,ns,4200
lua/add_fields,v1,,1,elements,14049385.0,ns,4480
lua/add_fields,v1,,1,elements,14934857.0,ns,4760
lua/add_fields,v1,,1,elements,15827022.0,ns,5040
lua/add_fields,v1,,1,elements,16536871.0,ns,5320
lua/add_fields,v1,,1,elements,17592778.0,ns,5600
lua/add_fields,v1,,1,elements,18343725.0,ns,5880
lua/add_fields,v1,,1,elements,19427744.0,ns,6160
lua/add_fields,v1,,1,elements,20150313.0,ns,6440
lua/add_fields,v1,,1,elements,21003864.0,ns,6720
lua/add_fields,v1,,1,elements,21787214.0,ns,7000
lua/add_fields,v1,,1,elements,22943703.0,ns,7280
lua/add_fields,v1,,1,elements,23621278.0,ns,7560
lua/add_fields,v1,,1,elements,24707467.0,ns,7840
lua/add_fields,v1,,1,elements,25073117.0,ns,8120
lua/add_fields,v1,,1,elements,26030760.0,ns,8400
lua/add_fields,v1,,1,elements,26989846.0,ns,8680
lua/add_fields,v1,,1,elements,27923059.0,ns,8960
lua/add_fields,v1,,1,elements,28755649.0,ns,9240
lua/add_fields,v1,,1,elements,29619053.0,ns,9520
lua/add_fields,v1,,1,elements,30519106.0,ns,9800
lua/add_fields,v1,,1,elements,31436258.0,ns,10080
lua/add_fields,v1,,1,elements,32227599.0,ns,10360
lua/add_fields,v1,,1,elements,33066379.0,ns,10640
lua/add_fields,v1,,1,elements,33985184.0,ns,10920
lua/add_fields,v1,,1,elements,34937028.0,ns,11200
lua/add_fields,v1,,1,elements,35778277.0,ns,11480
lua/add_fields,v1,,1,elements,36737411.0,ns,11760
lua/add_fields,v1,,1,elements,37482781.0,ns,12040
lua/add_fields,v1,,1,elements,38624421.0,ns,12320
lua/add_fields,v1,,1,elements,39441132.0,ns,12600
lua/add_fields,v1,,1,elements,40237290.0,ns,12880
lua/add_fields,v1,,1,elements,41232486.0,ns,13160
lua/add_fields,v1,,1,elements,41937766.0,ns,13440
lua/add_fields,v1,,1,elements,42856939.0,ns,13720
lua/add_fields,v1,,1,elements,43474113.0,ns,14000
lua/add_fields,v1,,1,elements,44433839.0,ns,14280
lua/add_fields,v1,,1,elements,45271097.0,ns,14560
lua/add_fields,v1,,1,elements,46232864.0,ns,14840
lua/add_fields,v1,,1,elements,47190708.0,ns,15120
lua/add_fields,v1,,1,elements,47980239.0,ns,15400
lua/add_fields,v1,,1,elements,48673038.0,ns,15680
lua/add_fields,v1,,1,elements,49698041.0,ns,15960
lua/add_fields,v1,,1,elements,50471051.0,ns,16240
lua/add_fields,v1,,1,elements,51312790.0,ns,16520
lua/add_fields,v1,,1,elements,52477912.0,ns,16800
lua/add_fields,v1,,1,elements,53051694.0,ns,17080
lua/add_fields,v1,,1,elements,54090744.0,ns,17360
lua/add_fields,v1,,1,elements,54855019.0,ns,17640
lua/add_fields,v1,,1,elements,55787645.0,ns,17920
lua/add_fields,v1,,1,elements,56632468.0,ns,18200
lua/add_fields,v1,,1,elements,57480969.0,ns,18480
lua/add_fields,v1,,1,elements,57831998.0,ns,18760
lua/add_fields,v1,,1,elements,59609721.0,ns,19040
lua/add_fields,v1,,1,elements,60011534.0,ns,19320
lua/add_fields,v1,,1,elements,61368538.0,ns,19600
lua/add_fields,v1,,1,elements,61788937.0,ns,19880
lua/add_fields,v1,,1,elements,63078442.0,ns,20160
lua/add_fields,v1,,1,elements,63843379.0,ns,20440
lua/add_fields,v1,,1,elements,64539258.0,ns,20720
lua/add_fields,v1,,1,elements,64949699.0,ns,21000
lua/add_fields,v1,,1,elements,66450446.0,ns,21280
lua/add_fields,v1,,1,elements,67138084.0,ns,21560
lua/add_fields,v1,,1,elements,68229343.0,ns,21840
lua/add_fields,v1,,1,elements,68885707.0,ns,22120
lua/add_fields,v1,,1,elements,70219604.0,ns,22400
lua/add_fields,v1,,1,elements,71107745.0,ns,22680
lua/add_fields,v1,,1,elements,71759881.0,ns,22960
lua/add_fields,v1,,1,elements,72783089.0,ns,23240
lua/add_fields,v1,,1,elements,73480534.0,ns,23520
lua/add_fields,v1,,1,elements,74391968.0,ns,23800
lua/add_fields,v1,,1,elements,75556185.0,ns,24080
lua/add_fields,v1,,1,elements,75819216.0,ns,24360
lua/add_fields,v1,,1,elements,77324832.0,ns,24640
lua/add_fields,v1,,1,elements,78062173.0,ns,24920
lua/add_fields,v1,,1,elements,78492004.0,ns,25200
lua/add_fields,v1,,1,elements,79622590.0,ns,25480
lua/add_fields,v1,,1,elements,80630744.0,ns,25760
lua/add_fields,v1,,1,elements,81783993.0,ns,26040
lua/add_fields,v1,,1,elements,82409841.0,ns,26320
lua/add_fields,v1,,1,elements,83321716.0,ns,26600
lua/add_fields,v1,,1,elements,83872229.0,ns,26880
lua/add_fields,v1,,1,elements,84729331.0,ns,27160
lua/add_fields,v1,,1,elements,86070156.0,ns,27440
lua/add_fields,v1,,1,elements,86320731.0,ns,27720
lua/add_fields,v1,,1,elements,87312033.0,ns,28000
