group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
lua/field_filter,native,,10,elements,512442.0,ns,114
lua/field_filter,native,,10,elements,992495.0,ns,228
lua/field_filter,native,,10,elements,1421096.0,ns,342
lua/field_filter,native,,10,elements,1930857.0,ns,456
lua/field_filter,native,,10,elements,2358391.0,ns,570
lua/field_filter,native,,10,elements,2879344.0,ns,684
lua/field_filter,native,,10,elements,3369183.0,ns,798
lua/field_filter,native,,10,elements,3929820.0,ns,912
lua/field_filter,native,,10,elements,4285171.0,ns,1026
lua/field_filter,native,,10,elements,4777331.0,ns,1140
lua/field_filter,native,,10,elements,5298424.0,ns,1254
lua/field_filter,native,,10,elements,5731965.0,ns,1368
lua/field_filter,native,,10,elements,6247860.0,ns,1482
lua/field_filter,native,,10,elements,6666228.0,ns,1596
lua/field_filter,native,,10,elements,7233374.0,ns,1710
lua/field_filter,native,,10,elements,7557814.0,ns,1824
lua/field_filter,native,,10,elements,8217038.0,ns,1938
lua/field_filter,native,,10,elements,8686121.0,ns,2052
lua/field_filter,native,,10,elements,9041529.0,ns,2166
lua/field_filter,native,,10,elements,9666266.0,ns,2280
lua/field_filter,native,,10,elements,10131887.0,ns,2394
lua/field_filter,native,,10,elements,10354772.0,ns,2508
lua/field_filter,native,,10,elements,10930109.0,ns,2622
lua/field_filter,native,,10,elements,11393859.0,ns,2736
lua/field_filter,native,,10,elements,12024045.0,ns,2850
lua/field_filter,native,,10,elements,12472637.0,ns,2964
lua/field_filter,native,,10,elements,12900651.0,ns,3078
lua/field_filter,native,,10,elements,13365828.0,ns,3192
lua/field_filter,native,,10,elements,13932203.0,ns,3306
lua/field_filter,native,,10,elements,14174380.0,ns,3420
lua/field_filter,native,,10,elements,14792695.0,ns,3534
lua/field_filter,native,,10,elements,15436979.0,ns,3648
lua/field_filter,native,,10,elements,16103329.0,ns,3762
lua/field_filter,native,,10,elements,16396485.0,ns,3876
lua/field_filter,native,,10,elements,16822257.0,ns,3990
lua/field_filter,native,,10,elements,17097934.0,ns,4104
lua/field_filter,native,,10,elements,17609648.0,ns,4218
lua/field_filter,native,,10,elements,18173590.0,ns,4332
lua/field_filter,native,,10,elements,18653743.0,ns,4446
lua/field_filter,native,,10,elements,19027104.0,ns,4560
lua/field_filter,native,,10,elements,19778474.0,ns,4674
lua/field_filter,native,,10,elements,20317757.0,ns,4788
lua/field_filter,native,,10,elements,20558020.0,ns,4902
lua/field_filter,native,,10,elements,21044695.0,ns,5016
lua/field_filter,native,,10,elements,21288640.0,ns,5130
lua/field_filter,native,,10,elements,21838814.0,ns,5244
lua/field_filter,native,,10,elements,22616402.0,ns,5358
lua/field_filter,native,,10,elements,22951433.0,ns,5472
lua/field_filter,native,,10,elements,23437894.0,ns,5586
lua/field_filter,native,,10,elements,23982050.0,ns,5700
lua/field_filter,native,,10,elements,24521961.0,ns,5814
lua/field_filter,native,,10,elements,25048075.0,ns,5928
lua/field_filter,native,,10,elements,25504895.0,ns,6042
lua/field_filter,native,,10,elements,25756804.0,ns,6156
lua/field_filter,native,,10,elements,25913767.0,ns,6270
lua/field_filter,native,,10,elements,26507463.0,ns,6384
lua/field_filter,native,,10,elements,27200661.0,ns,6498
lua/field_filter,native,,10,elements,27737726.0,ns,6612
lua/field_filter,native,,10,elements,28378739.0,ns,6726
lua/field_filter,native,,10,elements,28457960.0,ns,6840
lua/field_filter,native,,10,elements,28828552.0,ns,6954
lua/field_filter,native,,10,elements,29799366.0,ns,7068
lua/field_filter,native,,10,elements,29999550.0,ns,7182
lua/field_filter,native,,10,elements,30504374.0,ns,7296
lua/field_filter,native,,10,elements,31015245.0,ns,7410
lua/field_filter,native,,10,elements,31931632.0,ns,7524
lua/field_filter,native,,10,elements,32195277.0,ns,7638
lua/field_filter,native,,10,elements,32761060.0,ns,7752
lua/field_filter,native,,10,elements,32867332.0,ns,7866
lua/field_filter,native,,10,elements,33617854.0,ns,7980
lua/field_filter,native,,10,elements,33969201.0,ns,8094
