group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
lua/field_filter,v1,,10,elements,944342.0,ns,33
lua/field_filter,v1,,10,elements,1859957.0,ns,66
lua/field_filter,v1,,10,elements,2697857.0,ns,99
lua/field_filter,v1,,10,elements,3618542.0,ns,132
lua/field_filter,v1,,10,elements,4499064.0,ns,165
lua/field_filter,v1,,10,elements,5393929.0,ns,198
lua/field_filter,v1,,10,elements,6340621.0,ns,231
lua/field_filter,v1,,10,elements,7326036.0,ns,264
lua/field_filter,v1,,10,elements,8217408.0,ns,297
lua/field_filter,v1,,10,elements,9070693.0,ns,330
lua/field_filter,v1,,10,elements,9901392.0,ns,363
lua/field_filter,v1,,10,elements,10927693.0,ns,396
lua/field_filter,v1,,10,elements,11760530.0,ns,429
lua/field_filter,v1,,10,elements,12663871.0,ns,462
lua/field_filter,v1,,10,elements,13759388.0,ns,495
lua/field_filter,v1,,10,elements,14686762.0,ns,528
lua/field_filter,v1,,10,elements,15547014.0,ns,561
lua/field_filter,v1,,10,elements,16319814.0,ns,594
lua/field_filter,v1,,10,elements,17305351.0,ns,627
lua/field_filter,v1,,10,elements,18125600.0,ns,660
lua/field_filter,v1,,10,elements,18887320.0,ns,693
lua/field_filter,v1,,10,elements,20053936.0,ns,726
lua/field_filter,v1,,10,elements,21029886.0,ns,759
lua/field_filter,v1,,10,elements,21696690.0,ns,792
lua/field_filter,v1,,10,elements,22543631.0,ns,825
lua/field_filter,v1,,10,elements,23495167.0,ns,858
lua/field_filter,v1,,10,elements,24445500.0,ns,891
lua/field_filter,v1,,10,elements,25388855.0,ns,924
lua/field_filter,v1,,10,elements,26222324.0,ns,957
lua/field_filter,v1,,10,elements,27360235.0,ns,990
lua/field_filter,v1,,10,elements,28398402.0,ns,1023
lua/field_filter,v1,,10,elements,29126131.0,ns,1056
lua/field_filter,v1,,10,elements,30069401.0,ns,1089
lua/field_filter,v1,,10,elements,30890364.0,ns,1122
lua/field_filter,v1,,10,elements,31882967.0,ns,1155
lua/field_filter,v1,,10,elements,32755241.0,ns,1188
lua/field_filter,v1,,10,elements,33803957.0,ns,1221
lua/field_filter,v1,,10,elements,34451364.0,ns,1254
lua/field_filter,v1,,10,elements,35219415.0,ns,1287
lua/field_filter,v1,,10,elements,36351953.0,ns,1320
lua/field_filter,v1,,10,elements,37414060.0,ns,1353
lua/field_filter,v1,,10,elements,38131228.0,ns,1386
lua/field_filter,v1,,10,elements,39144454.0,ns,1419
lua/field_filter,v1,,10,elements,39840772.0,ns,1452
lua/field_filter,v1,,10,elements,40672641.0,ns,1485
lua/field_filter,v1,,10,elements,41803750.0,ns,1518
lua/field_filter,v1,,10,elements,42603683.0,ns,1551
lua/field_filter,v1,,10,elements,43354031.0,ns,1584
lua/field_filter,v1,,10,elements,44194612.0,ns,1617
lua/field_filter,v1,,10,elements,45403831.0,ns,1650
lua/field_filter,v1,,10,elements,46159620.0,ns,1683
