group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
lua/field_filter,v2,,10,elements,1001965.0,ns,6
lua/field_filter,v2,,10,elements,1979631.0,ns,12
lua/field_filter,v2,,10,elements,2963216.0,ns,18
lua/field_filter,v2,,10,elements,4128025.0,ns,24
lua/field_filter,v2,,10,elements,4937306.0,ns,30
lua/field_filter,v2,,10,elements,6065089.0,ns,36
lua/field_filter,v2,,10,elements,7011136.0,ns,42
lua/field_filter,v2,,10,elements,8061814.0,ns,48
lua/field_filter,v2,,10,elements,8960458.0,ns,54
lua/field_filter,v2,,10,elements,9978234.0,ns,60
lua/field_filter,v2,,10,elements,10961099.0,ns,66
lua/field_filter,v2,,10,elements,12084829.0,ns,72
lua/field_filter,v2,,10,elements,12930478.0,ns,78
lua/field_filter,v2,,10,elements,13977707.0,ns,84
lua/field_filter,v2,,10,elements,15039991.0,ns,90
lua/field_filter,v2,,10,elements,16156709.0,ns,96
lua/field_filter,v2,,10,elements,16920201.0,ns,102
lua/field_filter,v2,,10,elements,17912755.0,ns,108
lua/field_filter,v2,,10,elements,18858358.0,ns,114
lua/field_filter,v2,,10,elements,20171903.0,ns,120
lua/field_filter,v2,,10,elements,21351679.0,ns,126
lua/field_filter,v2,,10,elements,22116140.0,ns,132
lua/field_filter,v2,,10,elements,23066335.0,ns,138
lua/field_filter,v2,,10,elements,23886604.0,ns,144
lua/field_filter,v2,,10,elements,25243161.0,ns,150
lua/field_filter,v2,,10,elements,25926069.0,ns,156
lua/field_filter,v2,,10,elements,27180180.0,ns,162
lua/field_filter,v2,,10,elements,28068470.0,ns,168
lua/field_filter,v2,,10,elements,29055628.0,ns,174
lua/field_filter,v2,,10,elements,29972040.0,ns,180
lua/field_filter,v2,,10,elements,30973115.0,ns,186
lua/field_filter,v2,,10,elements,31760235.0,ns,192
lua/field_filter,v2,,10,elements,33038359.0,ns,198
lua/field_filter,v2,,10,elements,34105245.0,ns,204
lua/field_filter,v2,,10,elements,34903915.0,ns,210
lua/field_filter,v2,,10,elements,35947951.0,ns,216
lua/field_filter,v2,,10,elements,36951790.0,ns,222
lua/field_filter,v2,,10,elements,37918813.0,ns,228
lua/field_filter,v2,,10,elements,38867196.0,ns,234
lua/field_filter,v2,,10,elements,39649186.0,ns,240
lua/field_filter,v2,,10,elements,41075634.0,ns,246
lua/field_filter,v2,,10,elements,41854822.0,ns,252
lua/field_filter,v2,,10,elements,43114414.0,ns,258
lua/field_filter,v2,,10,elements,44600573.0,ns,264
lua/field_filter,v2,,10,elements,45467792.0,ns,270
lua/field_filter,v2,,10,elements,46159003.0,ns,276
lua/field_filter,v2,,10,elements,47214358.0,ns,282
lua/field_filter,v2,,10,elements,48004319.0,ns,288
lua/field_filter,v2,,10,elements,49008503.0,ns,294
lua/field_filter,v2,,10,elements,49745072.0,ns,300
lua/field_filter,v2,,10,elements,50948584.0,ns,306
lua/field_filter,v2,,10,elements,51802474.0,ns,312
lua/field_filter,v2,,10,elements,52757389.0,ns,318
lua/field_filter,v2,,10,elements,53826134.0,ns,324
lua/field_filter,v2,,10,elements,54692511.0,ns,330
lua/field_filter,v2,,10,elements,55757666.0,ns,336
lua/field_filter,v2,,10,elements,56870736.0,ns,342
lua/field_filter,v2,,10,elements,57982223.0,ns,348
lua/field_filter,v2,,10,elements,58843714.0,ns,354
lua/field_filter,v2,,10,elements,59836090.0,ns,360
lua/field_filter,v2,,10,elements,60829484.0,ns,366
lua/field_filter,v2,,10,elements,61976853.0,ns,372
lua/field_filter,v2,,10,elements,62809486.0,ns,378
lua/field_filter,v2,,10,elements,63484070.0,ns,384
lua/field_filter,v2,,10,elements,64766223.0,ns,390
lua/field_filter,v2,,10,elements,66131217.0,ns,396
lua/field_filter,v2,,10,elements,66664343.0,ns,402
lua/field_filter,v2,,10,elements,67814828.0,ns,408
lua/field_filter,v2,,10,elements,68936389.0,ns,414
lua/field_filter,v2,,10,elements,69992458.0,ns,420
lua/field_filter,v2,,10,elements,70919010.0,ns,426
lua/field_filter,v2,,10,elements,72013020.0,ns,432
lua/field_filter,v2,,10,elements,73105945.0,ns,438
lua/field_filter,v2,,10,elements,73974266.0,ns,444
lua/field_filter,v2,,10,elements,75063126.0,ns,450
lua/field_filter,v2,,10,elements,76004847.0,ns,456
lua/field_filter,v2,,10,elements,76967484.0,ns,462
lua/field_filter,v2,,10,elements,77594927.0,ns,468
lua/field_filter,v2,,10,elements,78922272.0,ns,474
lua/field_filter,v2,,10,elements,80065171.0,ns,480
lua/field_filter,v2,,10,elements,80940294.0,ns,486
lua/field_filter,v2,,10,elements,81900548.0,ns,492
lua/field_filter,v2,,10,elements,82510024.0,ns,498
lua/field_filter,v2,,10,elements,83836708.0,ns,504
lua/field_filter,v2,,10,elements,84891705.0,ns,510
lua/field_filter,v2,,10,elements,86164396.0,ns,516
lua/field_filter,v2,,10,elements,87269134.0,ns,522
lua/field_filter,v2,,10,elements,87947573.0,ns,528
lua/field_filter,v2,,10,elements,88689879.0,ns,534
lua/field_filter,v2,,10,elements,89750558.0,ns,540
lua/field_filter,v2,,10,elements,90531906.0,ns,546
lua/field_filter,v2,,10,elements,91608765.0,ns,552
lua/field_filter,v2,,10,elements,92713912.0,ns,558
lua/field_filter,v2,,10,elements,93613855.0,ns,564
lua/field_filter,v2,,10,elements,94650111.0,ns,570
lua/field_filter,v2,,10,elements,95654780.0,ns,576
lua/field_filter,v2,,10,elements,96684612.0,ns,582
lua/field_filter,v2,,10,elements,98089109.0,ns,588
lua/field_filter,v2,,10,elements,98384155.0,ns,594
lua/field_filter,v2,,10,elements,99721531.0,ns,600
