group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
metrics_snapshot,cardinality,100,,,1020426.0,ns,25
metrics_snapshot,cardinality,100,,,2117184.0,ns,50
metrics_snapshot,cardinality,100,,,3181150.0,ns,75
metrics_snapshot,cardinality,100,,,4060443.0,ns,100
metrics_snapshot,cardinality,100,,,5264984.0,ns,125
metrics_snapshot,cardinality,100,,,6289440.0,ns,150
metrics_snapshot,cardinality,100,,,7129242.0,ns,175
metrics_snapshot,cardinality,100,,,8246690.0,ns,200
metrics_snapshot,cardinality,100,,,9175642.0,ns,225
metrics_snapshot,cardinality,100,,,10460026.0,ns,250
metrics_snapshot,cardinality,100,,,11401029.0,ns,275
metrics_snapshot,cardinality,100,,,12289132.0,ns,300
metrics_snapshot,cardinality,100,,,13321328.0,ns,325
metrics_snapshot,cardinality,100,,,14320253.0,ns,350
metrics_snapshot,cardinality,100,,,15401471.0,ns,375
metrics_snapshot,cardinality,100,,,16290804.0,ns,400
metrics_snapshot,cardinality,100,,,17368470.0,ns,425
metrics_snapshot,cardinality,100,,,18380987.0,ns,450
metrics_snapshot,cardinality,100,,,19381562.0,ns,475
metrics_snapshot,cardinality,100,,,20565091.0,ns,500
metrics_snapshot,cardinality,100,,,21512676.0,ns,525
metrics_snapshot,cardinality,100,,,22396138.0,ns,550
metrics_snapshot,cardinality,100,,,23365644.0,ns,575
metrics_snapshot,cardinality,100,,,24288177.0,ns,600
metrics_snapshot,cardinality,100,,,25495147.0,ns,625
metrics_snapshot,cardinality,100,,,26354289.0,ns,650
metrics_snapshot,cardinality,100,,,27372884.0,ns,675
metrics_snapshot,cardinality,100,,,28422771.0,ns,700
metrics_snapshot,cardinality,100,,,29547550.0,ns,725
metrics_snapshot,cardinality,100,,,30254148.0,ns,750
metrics_snapshot,cardinality,100,,,31190232.0,ns,775
metrics_snapshot,cardinality,100,,,32251969.0,ns,800
metrics_snapshot,cardinality,100,,,33589663.0,ns,825
metrics_snapshot,cardinality,100,,,34399673.0,ns,850
metrics_snapshot,cardinality,100,,,35407429.0,ns,875
metrics_snapshot,cardinality,100,,,36227119.0,ns,900
metrics_snapshot,cardinality,100,,,37356598.0,ns,925
metrics_snapshot,cardinality,100,,,38341693.0,ns,950
metrics_snapshot,cardinality,100,,,39322648.0,ns,975
metrics_snapshot,cardinality,100,,,40215481.0,ns,1000
metrics_snapshot,cardinality,100,,,41637896.0,ns,1025
metrics_snapshot,cardinality,100,,,42354165.0,ns,1050
metrics_snapshot,cardinality,100,,,43063223.0,ns,1075
metrics_snapshot,cardinality,100,,,44550351.0,ns,1100
metrics_snapshot,cardinality,100,,,45525346.0,ns,1125
metrics_snapshot,cardinality,100,,,46583982.0,ns,1150
metrics_snapshot,cardinality,100,,,48001448.0,ns,1175
metrics_snapshot,cardinality,100,,,48405388.0,ns,1200
metrics_snapshot,cardinality,100,,,49789144.0,ns,1225
metrics_snapshot,cardinality,100,,,51048265.0,ns,1250
metrics_snapshot,cardinality,100,,,51375284.0,ns,1275
metrics_snapshot,cardinality,100,,,52366809.0,ns,1300
