group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
metrics_snapshot,cardinality,10000,,,53642261.0,ns,13
metrics_snapshot,cardinality,10000,,,53276332.0,ns,13
metrics_snapshot,cardinality,10000,,,53159199.0,ns,13
metrics_snapshot,cardinality,10000,,,53019295.0,ns,13
metrics_snapshot,cardinality,10000,,,52944364.0,ns,13
metrics_snapshot,cardinality,10000,,,53014665.0,ns,13
metrics_snapshot,cardinality,10000,,,52880332.0,ns,13
metrics_snapshot,cardinality,10000,,,53067127.0,ns,13
metrics_snapshot,cardinality,10000,,,53025665.0,ns,13
metrics_snapshot,cardinality,10000,,,53030856.0,ns,13
metrics_snapshot,cardinality,10000,,,52959614.0,ns,13
metrics_snapshot,cardinality,10000,,,53150299.0,ns,13
metrics_snapshot,cardinality,10000,,,52867731.0,ns,13
metrics_snapshot,cardinality,10000,,,52999016.0,ns,13
metrics_snapshot,cardinality,10000,,,53187959.0,ns,13
metrics_snapshot,cardinality,10000,,,53039856.0,ns,13
metrics_snapshot,cardinality,10000,,,53137648.0,ns,13
metrics_snapshot,cardinality,10000,,,52772339.0,ns,13
metrics_snapshot,cardinality,10000,,,53015085.0,ns,13
metrics_snapshot,cardinality,10000,,,52707608.0,ns,13
metrics_snapshot,cardinality,10000,,,52850441.0,ns,13
metrics_snapshot,cardinality,10000,,,53023566.0,ns,13
metrics_snapshot,cardinality,10000,,,53005125.0,ns,13
metrics_snapshot,cardinality,10000,,,52981264.0,ns,13
metrics_snapshot,cardinality,10000,,,53110438.0,ns,13
metrics_snapshot,cardinality,10000,,,52910693.0,ns,13
metrics_snapshot,cardinality,10000,,,53066327.0,ns,13
metrics_snapshot,cardinality,10000,,,53181829.0,ns,13
metrics_snapshot,cardinality,10000,,,53195020.0,ns,13
metrics_snapshot,cardinality,10000,,,52873022.0,ns,13
metrics_snapshot,cardinality,10000,,,53045936.0,ns,13
metrics_snapshot,cardinality,10000,,,53276022.0,ns,13
metrics_snapshot,cardinality,10000,,,53193650.0,ns,13
metrics_snapshot,cardinality,10000,,,52664656.0,ns,13
metrics_snapshot,cardinality,10000,,,53195700.0,ns,13
metrics_snapshot,cardinality,10000,,,53090667.0,ns,13
metrics_snapshot,cardinality,10000,,,53037936.0,ns,13
metrics_snapshot,cardinality,10000,,,53143509.0,ns,13
metrics_snapshot,cardinality,10000,,,53263732.0,ns,13
metrics_snapshot,cardinality,10000,,,53397025.0,ns,13
metrics_snapshot,cardinality,10000,,,53138728.0,ns,13
metrics_snapshot,cardinality,10000,,,53167480.0,ns,13
metrics_snapshot,cardinality,10000,,,52875652.0,ns,13
metrics_snapshot,cardinality,10000,,,53017676.0,ns,13
