group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
regex,http,,1574,bytes,1082267.0,ns,12
regex,http,,1574,bytes,1917299.0,ns,24
regex,http,,1574,bytes,2838223.0,ns,36
regex,http,,1574,bytes,3720555.0,ns,48
regex,http,,1574,bytes,4719488.0,ns,60
regex,http,,1574,bytes,5570791.0,ns,72
regex,http,,1574,bytes,6441794.0,ns,84
regex,http,,1574,bytes,7373637.0,ns,96
regex,http,,1574,bytes,8399242.0,ns,108
regex,http,,1574,bytes,9176652.0,ns,120
regex,http,,1574,bytes,10262652.0,ns,132
regex,http,,1574,bytes,11096912.0,ns,144
regex,http,,1574,bytes,11943183.0,ns,156
regex,http,,1574,bytes,12994139.0,ns,168
regex,http,,1574,bytes,13842732.0,ns,180
regex,http,,1574,bytes,14769134.0,ns,192
regex,http,,1574,bytes,15596306.0,ns,204
regex,http,,1574,bytes,16528801.0,ns,216
regex,http,,1574,bytes,17682489.0,ns,228
regex,http,,1574,bytes,18355636.0,ns,240
regex,http,,1574,bytes,19377942.0,ns,252
regex,http,,1574,bytes,20188575.0,ns,264
regex,http,,1574,bytes,21284009.0,ns,276
regex,http,,1574,bytes,21917986.0,ns,288
regex,http,,1574,bytes,23000814.0,ns,300
regex,http,,1574,bytes,23949449.0,ns,312
regex,http,,1574,bytes,24793700.0,ns,324
regex,http,,1574,bytes,25735733.0,ns,336
regex,http,,1574,bytes,26674627.0,ns,348
regex,http,,1574,bytes,27393104.0,ns,360
regex,http,,1574,bytes,28366830.0,ns,372
regex,http,,1574,bytes,29436167.0,ns,384
regex,http,,1574,bytes,30205996.0,ns,396
regex,http,,1574,bytes,31176981.0,ns,408
regex,http,,1574,bytes,32073723.0,ns,420
regex,http,,1574,bytes,32963055.0,ns,432
regex,http,,1574,bytes,34019336.0,ns,444
regex,http,,1574,bytes,34570987.0,ns,456
regex,http,,1574,bytes,35773596.0,ns,468
regex,http,,1574,bytes,36718732.0,ns,480
regex,http,,1574,bytes,37960093.0,ns,492
regex,http,,1574,bytes,38109106.0,ns,504
regex,http,,1574,bytes,39360688.0,ns,516
regex,http,,1574,bytes,40551250.0,ns,528
regex,http,,1574,bytes,41665757.0,ns,540
regex,http,,1574,bytes,41865714.0,ns,552
regex,http,,1574,bytes,43213338.0,ns,564
regex,http,,1574,bytes,43881533.0,ns,576
regex,http,,1574,bytes,44865959.0,ns,588
regex,http,,1574,bytes,45643678.0,ns,600
regex,http,,1574,bytes,46853878.0,ns,612
regex,http,,1574,bytes,47590291.0,ns,624
regex,http,,1574,bytes,49035754.0,ns,636
regex,http,,1574,bytes,49456934.0,ns,648
regex,http,,1574,bytes,50100153.0,ns,660
regex,http,,1574,bytes,51292192.0,ns,672
regex,http,,1574,bytes,52284308.0,ns,684
regex,http,,1574,bytes,52648315.0,ns,696
regex,http,,1574,bytes,54110161.0,ns,708
regex,http,,1574,bytes,54834580.0,ns,720
regex,http,,1574,bytes,55950268.0,ns,732
regex,http,,1574,bytes,56774630.0,ns,744
regex,http,,1574,bytes,57453109.0,ns,756
regex,http,,1574,bytes,58427263.0,ns,768
regex,http,,1574,bytes,59822568.0,ns,780
regex,http,,1574,bytes,60106937.0,ns,792
regex,http,,1574,bytes,61762398.0,ns,804
regex,http,,1574,bytes,61638612.0,ns,816
regex,http,,1574,bytes,63070481.0,ns,828
regex,http,,1574,bytes,64228670.0,ns,840
regex,http,,1574,bytes,64667851.0,ns,852
regex,http,,1574,bytes,65728017.0,ns,864
regex,http,,1574,bytes,66651062.0,ns,876
regex,http,,1574,bytes,67763249.0,ns,888
regex,http,,1574,bytes,68427786.0,ns,900
regex,http,,1574,bytes,68867667.0,ns,912
regex,http,,1574,bytes,69907813.0,ns,924
regex,http,,1574,bytes,71353371.0,ns,936
regex,http,,1574,bytes,72395989.0,ns,948
regex,http,,1574,bytes,73567245.0,ns,960
regex,http,,1574,bytes,73619478.0,ns,972
regex,http,,1574,bytes,75179226.0,ns,984
regex,http,,1574,bytes,75874566.0,ns,996
regex,http,,1574,bytes,76810017.0,ns,1008
regex,http,,1574,bytes,77204459.0,ns,1020
regex,http,,1574,bytes,77698309.0,ns,1032
regex,http,,1574,bytes,79388936.0,ns,1044
regex,http,,1574,bytes,80439272.0,ns,1056
regex,http,,1574,bytes,80731429.0,ns,1068
regex,http,,1574,bytes,81918907.0,ns,1080
regex,http,,1574,bytes,83897850.0,ns,1092
regex,http,,1574,bytes,84092103.0,ns,1104
regex,http,,1574,bytes,84693241.0,ns,1116
regex,http,,1574,bytes,85990292.0,ns,1128
regex,http,,1574,bytes,86352202.0,ns,1140
regex,http,,1574,bytes,87375078.0,ns,1152
regex,http,,1574,bytes,88171987.0,ns,1164
regex,http,,1574,bytes,89993993.0,ns,1176
regex,http,,1574,bytes,89680878.0,ns,1188
regex,http,,1574,bytes,90467634.0,ns,1200
