group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
template,dynamic,,,,641076.0,ns,992
template,dynamic,,,,1269483.0,ns,1984
template,dynamic,,,,2007543.0,ns,2976
template,dynamic,,,,2668836.0,ns,3968
template,dynamic,,,,3244522.0,ns,4960
template,dynamic,,,,4023191.0,ns,5952
template,dynamic,,,,4554706.0,ns,6944
template,dynamic,,,,5380645.0,ns,7936
template,dynamic,,,,5910700.0,ns,8928
template,dynamic,,,,6613677.0,ns,9920
template,dynamic,,,,7354845.0,ns,10912
template,dynamic,,,,7946352.0,ns,11904
template,dynamic,,,,8590268.0,ns,12896
template,dynamic,,,,9333115.0,ns,13888
template,dynamic,,,,9984463.0,ns,14880
template,dynamic,,,,10572378.0,ns,15872
template,dynamic,,,,11212523.0,ns,16864
template,dynamic,,,,11830881.0,ns,17856
template,dynamic,,,,12430956.0,ns,18848
template,dynamic,,,,13081150.0,ns,19840
template,dynamic,,,,13574802.0,ns,20832
template,dynamic,,,,14225871.0,ns,21824
template,dynamic,,,,15060081.0,ns,22816
template,dynamic,,,,15596534.0,ns,23808
template,dynamic,,,,16516580.0,ns,24800
template,dynamic,,,,17033204.0,ns,25792
template,dynamic,,,,17818122.0,ns,26784
template,dynamic,,,,18389478.0,ns,27776
template,dynamic,,,,18999240.0,ns,28768
template,dynamic,,,,19624030.0,ns,29760
template,dynamic,,,,20343735.0,ns,30752
template,dynamic,,,,20929901.0,ns,31744
template,dynamic,,,,21454096.0,ns,32736
template,dynamic,,,,22188474.0,ns,33728
template,dynamic,,,,22813569.0,ns,34720
template,dynamic,,,,23418324.0,ns,35712
template,dynamic,,,,24184584.0,ns,36704
template,dynamic,,,,24617916.0,ns,37696
template,dynamic,,,,25614940.0,ns,38688
template,dynamic,,,,25663525.0,ns,39680
template,dynamic,,,,26469871.0,ns,40672
template,dynamic,,,,27002826.0,ns,41664
template,dynamic,,,,27973090.0,ns,42656
template,dynamic,,,,28790650.0,ns,43648
template,dynamic,,,,28991887.0,ns,44640
template,dynamic,,,,29666744.0,ns,45632
template,dynamic,,,,30269858.0,ns,46624
template,dynamic,,,,30807781.0,ns,47616
template,dynamic,,,,31543640.0,ns,48608
template,dynamic,,,,32300629.0,ns,49600
template,dynamic,,,,32846523.0,ns,50592
template,dynamic,,,,33298627.0,ns,51584
template,dynamic,,,,34006282.0,ns,52576
template,dynamic,,,,34653740.0,ns,53568
template,dynamic,,,,35193772.0,ns,54560
template,dynamic,,,,35921902.0,ns,55552
template,dynamic,,,,36619512.0,ns,56544
template,dynamic,,,,37137640.0,ns,57536
template,dynamic,,,,37849101.0,ns,58528
template,dynamic,,,,38268664.0,ns,59520
template,dynamic,,,,39017998.0,ns,60512
template,dynamic,,,,39771528.0,ns,61504
template,dynamic,,,,40269753.0,ns,62496
template,dynamic,,,,41192395.0,ns,63488
template,dynamic,,,,41799360.0,ns,64480
template,dynamic,,,,42603902.0,ns,65472
template,dynamic,,,,43661576.0,ns,66464
template,dynamic,,,,44209400.0,ns,67456
template,dynamic,,,,44744835.0,ns,68448
template,dynamic,,,,45571647.0,ns,69440
template,dynamic,,,,46487120.0,ns,70432
template,dynamic,,,,46981171.0,ns,71424
template,dynamic,,,,47505548.0,ns,72416
template,dynamic,,,,48658196.0,ns,73408
template,dynamic,,,,49334533.0,ns,74400
template,dynamic,,,,50204624.0,ns,75392
template,dynamic,,,,50499962.0,ns,76384
template,dynamic,,,,50953900.0,ns,77376
template,dynamic,,,,51063044.0,ns,78368
template,dynamic,,,,51834856.0,ns,79360
template,dynamic,,,,52478022.0,ns,80352
template,dynamic,,,,53099877.0,ns,81344
template,dynamic,,,,54326879.0,ns,82336
template,dynamic,,,,55287511.0,ns,83328
template,dynamic,,,,56028093.0,ns,84320
template,dynamic,,,,56170859.0,ns,85312
template,dynamic,,,,57487591.0,ns,86304
template,dynamic,,,,57694112.0,ns,87296
template,dynamic,,,,58625918.0,ns,88288
template,dynamic,,,,59189112.0,ns,89280
template,dynamic,,,,60282971.0,ns,90272
template,dynamic,,,,59918272.0,ns,91264
template,dynamic,,,,60302339.0,ns,92256
template,dynamic,,,,61273764.0,ns,93248
template,dynamic,,,,61972813.0,ns,94240
template,dynamic,,,,62783052.0,ns,95232
template,dynamic,,,,63662215.0,ns,96224
template,dynamic,,,,64146576.0,ns,97216
template,dynamic,,,,64672029.0,ns,98208
template,dynamic,,,,65825401.0,ns,99200
