group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
template,static,,,,180714.0,ns,1988
template,static,,,,406870.0,ns,3976
template,static,,,,604756.0,ns,5964
template,static,,,,866712.0,ns,7952
template,static,,,,1097268.0,ns,9940
template,static,,,,1247582.0,ns,11928
template,static,,,,1457507.0,ns,13916
template,static,,,,1681747.0,ns,15904
template,static,,,,1942469.0,ns,17892
template,static,,,,2074044.0,ns,19880
template,static,,,,2274339.0,ns,21868
template,static,,,,2488152.0,ns,23856
template,static,,,,2743899.0,ns,25844
template,static,,,,2920565.0,ns,27832
template,static,,,,3086999.0,ns,29820
template,static,,,,3374276.0,ns,31808
template,static,,,,3570259.0,ns,33796
template,static,,,,3740093.0,ns,35784
template,static,,,,3961941.0,ns,37772
template,static,,,,4223025.0,ns,39760
template,static,,,,4330210.0,ns,41748
template,static,,,,4635208.0,ns,43736
template,static,,,,4829332.0,ns,45724
template,static,,,,4941406.0,ns,47712
template,static,,,,5148491.0,ns,49700
template,static,,,,5387260.0,ns,51688
template,static,,,,5666824.0,ns,53676
template,static,,,,5882949.0,ns,55664
template,static,,,,6011331.0,ns,57652
template,static,,,,6263578.0,ns,59640
template,static,,,,6476723.0,ns,61628
template,static,,,,6694059.0,ns,63616
template,static,,,,6914486.0,ns,65604
template,static,,,,7115260.0,ns,67592
template,static,,,,7297874.0,ns,69580
template,static,,,,7565812.0,ns,71568
template,static,,,,7856660.0,ns,73556
template,static,,,,7892931.0,ns,75544
template,static,,,,8100262.0,ns,77532
template,static,,,,8377683.0,ns,79520
template,static,,,,8623167.0,ns,81508
template,static,,,,8855406.0,ns,83496
template,static,,,,9097631.0,ns,85484
template,static,,,,9303076.0,ns,87472
template,static,,,,9469041.0,ns,89460
template,static,,,,9684286.0,ns,91448
template,static,,,,9824340.0,ns,93436
template,static,,,,10074766.0,ns,95424
template,static,,,,10385426.0,ns,97412
template,static,,,,10625311.0,ns,99400
template,static,,,,10773994.0,ns,101388
template,static,,,,11019389.0,ns,103376
template,static,,,,11234305.0,ns,105364
template,static,,,,11505350.0,ns,107352
template,static,,,,11733997.0,ns,109340
template,static,,,,11871692.0,ns,111328
template,static,,,,12055148.0,ns,113316
template,static,,,,12420147.0,ns,115304
template,static,,,,12722092.0,ns,117292
template,static,,,,12970139.0,ns,119280
template,static,,,,13161696.0,ns,121268
template,static,,,,13445040.0,ns,123256
template,static,,,,13699987.0,ns,125244
template,static,,,,13956064.0,ns,127232
template,static,,,,14204603.0,ns,129220
template,static,,,,14579200.0,ns,131208
template,static,,,,14823116.0,ns,133196
template,static,,,,15032420.0,ns,135184
template,static,,,,15258857.0,ns,137172
template,static,,,,15489033.0,ns,139160
template,static,,,,15903503.0,ns,141148
template,static,,,,16186610.0,ns,143136
template,static,,,,16647543.0,ns,145124
template,static,,,,16733246.0,ns,147112
template,static,,,,17077103.0,ns,149100
template,static,,,,17476693.0,ns,151088
template,static,,,,17978376.0,ns,153076
template,static,,,,18220993.0,ns,155064
template,static,,,,19337021.0,ns,157052
template,static,,,,19415923.0,ns,159040
template,static,,,,19641909.0,ns,161028
template,static,,,,20304805.0,ns,163016
template,static,,,,21025883.0,ns,165004
template,static,,,,20904529.0,ns,166992
template,static,,,,21503577.0,ns,168980
template,static,,,,21761703.0,ns,170968
template,static,,,,21515897.0,ns,172956
template,static,,,,22202855.0,ns,174944
template,static,,,,23189557.0,ns,176932
template,static,,,,23212790.0,ns,178920
template,static,,,,24137981.0,ns,180908
template,static,,,,25052715.0,ns,182896
template,static,,,,25486459.0,ns,184884
template,static,,,,25829125.0,ns,186872
template,static,,,,26310667.0,ns,188860
template,static,,,,26946485.0,ns,190848
template,static,,,,27824257.0,ns,192836
template,static,,,,27577379.0,ns,194824
template,static,,,,28507125.0,ns,196812
template,static,,,,29140299.0,ns,198800
