group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
topology,complex,,,,4411382223.0,ns,1
topology,complex,,,,4138888338.0,ns,1
topology,complex,,,,4201604220.0,ns,1
topology,complex,,,,4241108843.0,ns,1
topology,complex,,,,3945896891.0,ns,1
topology,complex,,,,3774141092.0,ns,1
topology,complex,,,,4429516904.0,ns,1
topology,complex,,,,4013384923.0,ns,1
topology,complex,,,,4230454923.0,ns,1
topology,complex,,,,4520434521.0,ns,1
topology,complex,,,,3837734173.0,ns,1
topology,complex,,,,3928480739.0,ns,1
topology,complex,,,,4060760105.0,ns,1
topology,complex,,,,4242308463.0,ns,1
topology,complex,,,,4086084258.0,ns,1
topology,complex,,,,4175790855.0,ns,1
topology,complex,,,,4253081716.0,ns,1
topology,complex,,,,4084056596.0,ns,1
topology,complex,,,,4087747630.0,ns,1
topology,complex,,,,4146809489.0,ns,1
topology,complex,,,,4410809319.0,ns,1
topology,complex,,,,3839446379.0,ns,1
topology,complex,,,,3984574622.0,ns,1
topology,complex,,,,3857636940.0,ns,1
topology,complex,,,,4260112925.0,ns,1
topology,complex,,,,3787310566.0,ns,1
topology,complex,,,,3969149210.0,ns,1
topology,complex,,,,4218807896.0,ns,1
topology,complex,,,,3868801413.0,ns,1
topology,complex,,,,4483023472.0,ns,1
topology,complex,,,,3801473195.0,ns,1
topology,complex,,,,3759359386.0,ns,1
topology,complex,,,,4368955997.0,ns,1
topology,complex,,,,4469292294.0,ns,1
topology,complex,,,,4127236052.0,ns,1
topology,complex,,,,4330727576.0,ns,1
topology,complex,,,,4218554210.0,ns,1
topology,complex,,,,4271771320.0,ns,1
topology,complex,,,,4397261876.0,ns,1
topology,complex,,,,4357381823.0,ns,1
topology,complex,,,,4108957859.0,ns,1
topology,complex,,,,4328625633.0,ns,1
topology,complex,,,,4075485179.0,ns,1
topology,complex,,,,4482072158.0,ns,1
topology,complex,,,,4195132016.0,ns,1
topology,complex,,,,4283704304.0,ns,1
topology,complex,,,,4356493130.0,ns,1
topology,complex,,,,4008026387.0,ns,1
topology,complex,,,,4317158663.0,ns,1
topology,complex,,,,4175297841.0,ns,1
topology,complex,,,,4169709672.0,ns,1
topology,complex,,,,3661716419.0,ns,1
topology,complex,,,,4138562620.0,ns,1
topology,complex,,,,3915308833.0,ns,1
topology,complex,,,,4362228877.0,ns,1
topology,complex,,,,3980257942.0,ns,1
topology,complex,,,,4046880763.0,ns,1
topology,complex,,,,3957716611.0,ns,1
topology,complex,,,,4251176658.0,ns,1
topology,complex,,,,4299720630.0,ns,1
topology,complex,,,,3901954315.0,ns,1
topology,complex,,,,4197410874.0,ns,1
topology,complex,,,,4202229956.0,ns,1
topology,complex,,,,4264261589.0,ns,1
topology,complex,,,,4004852047.0,ns,1
topology,complex,,,,4146487921.0,ns,1
topology,complex,,,,4334385400.0,ns,1
topology,complex,,,,3994080943.0,ns,1
topology,complex,,,,4307872077.0,ns,1
topology,complex,,,,4116692854.0,ns,1
topology,complex,,,,3770994732.0,ns,1
topology,complex,,,,4134861206.0,ns,1
topology,complex,,,,4193391001.0,ns,1
topology,complex,,,,4297634077.0,ns,1
topology,complex,,,,4232518784.0,ns,1
topology,complex,,,,4412522143.0,ns,1
topology,complex,,,,4044171894.0,ns,1
topology,complex,,,,3913038636.0,ns,1
topology,complex,,,,3975042380.0,ns,1
topology,complex,,,,4260226208.0,ns,1
topology,complex,,,,4148522853.0,ns,1
topology,complex,,,,4060718364.0,ns,1
topology,complex,,,,4084711243.0,ns,1
topology,complex,,,,3910770240.0,ns,1
topology,complex,,,,4277276730.0,ns,1
topology,complex,,,,3990496072.0,ns,1
topology,complex,,,,4351265798.0,ns,1
topology,complex,,,,3603184983.0,ns,1
topology,complex,,,,4004434686.0,ns,1
topology,complex,,,,4002645870.0,ns,1
topology,complex,,,,4166706714.0,ns,1
topology,complex,,,,4240500947.0,ns,1
topology,complex,,,,4325566826.0,ns,1
topology,complex,,,,4231915409.0,ns,1
topology,complex,,,,4102584607.0,ns,1
topology,complex,,,,4102118615.0,ns,1
topology,complex,,,,4115089365.0,ns,1
topology,complex,,,,4170861270.0,ns,1
topology,complex,,,,3848923430.0,ns,1
topology,complex,,,,4239173683.0,ns,1
