group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
topology,interconnected,,2000000,bytes,126506880.0,ns,1
topology,interconnected,,2000000,bytes,112935506.0,ns,1
topology,interconnected,,2000000,bytes,69635717.0,ns,1
topology,interconnected,,2000000,bytes,123115854.0,ns,1
topology,interconnected,,2000000,bytes,111425338.0,ns,1
topology,interconnected,,2000000,bytes,122659203.0,ns,1
topology,interconnected,,2000000,bytes,113142112.0,ns,1
topology,interconnected,,2000000,bytes,128528102.0,ns,1
topology,interconnected,,2000000,bytes,111415927.0,ns,1
topology,interconnected,,2000000,bytes,108596146.0,ns,1
topology,interconnected,,2000000,bytes,113178672.0,ns,1
topology,interconnected,,2000000,bytes,119557165.0,ns,1
topology,interconnected,,2000000,bytes,95628267.0,ns,1
topology,interconnected,,2000000,bytes,106663717.0,ns,1
topology,interconnected,,2000000,bytes,105651491.0,ns,1
topology,interconnected,,2000000,bytes,116592189.0,ns,1
topology,interconnected,,2000000,bytes,121850252.0,ns,1
topology,interconnected,,2000000,bytes,102043920.0,ns,1
topology,interconnected,,2000000,bytes,113493070.0,ns,1
topology,interconnected,,2000000,bytes,108872633.0,ns,1
topology,interconnected,,2000000,bytes,116215730.0,ns,1
topology,interconnected,,2000000,bytes,68564680.0,ns,1
topology,interconnected,,2000000,bytes,122013366.0,ns,1
topology,interconnected,,2000000,bytes,122717984.0,ns,1
topology,interconnected,,2000000,bytes,119231056.0,ns,1
topology,interconnected,,2000000,bytes,96540310.0,ns,1
topology,interconnected,,2000000,bytes,62153798.0,ns,1
topology,interconnected,,2000000,bytes,99607868.0,ns,1
topology,interconnected,,2000000,bytes,107895778.0,ns,1
topology,interconnected,,2000000,bytes,103654220.0,ns,1
topology,interconnected,,2000000,bytes,110046163.0,ns,1
topology,interconnected,,2000000,bytes,116403504.0,ns,1
topology,interconnected,,2000000,bytes,107261523.0,ns,1
topology,interconnected,,2000000,bytes,123858173.0,ns,1
topology,interconnected,,2000000,bytes,114163418.0,ns,1
topology,interconnected,,2000000,bytes,106535833.0,ns,1
topology,interconnected,,2000000,bytes,111462339.0,ns,1
topology,interconnected,,2000000,bytes,82282208.0,ns,1
topology,interconnected,,2000000,bytes,128125332.0,ns,1
topology,interconnected,,2000000,bytes,102923842.0,ns,1
topology,interconnected,,2000000,bytes,93553254.0,ns,1
topology,interconnected,,2000000,bytes,112435463.0,ns,1
topology,interconnected,,2000000,bytes,109814927.0,ns,1
topology,interconnected,,2000000,bytes,107800306.0,ns,1
topology,interconnected,,2000000,bytes,67103572.0,ns,1
topology,interconnected,,2000000,bytes,112694370.0,ns,1
topology,interconnected,,2000000,bytes,102690486.0,ns,1
topology,interconnected,,2000000,bytes,110301249.0,ns,1
topology,interconnected,,2000000,bytes,122638062.0,ns,1
topology,interconnected,,2000000,bytes,66176400.0,ns,1
topology,interconnected,,2000000,bytes,116178558.0,ns,1
topology,interconnected,,2000000,bytes,87271646.0,ns,1
topology,interconnected,,2000000,bytes,115588323.0,ns,1
topology,interconnected,,2000000,bytes,96408397.0,ns,1
topology,interconnected,,2000000,bytes,104883203.0,ns,1
topology,interconnected,,2000000,bytes,105328783.0,ns,1
topology,interconnected,,2000000,bytes,119155395.0,ns,1
topology,interconnected,,2000000,bytes,122984341.0,ns,1
topology,interconnected,,2000000,bytes,108675018.0,ns,1
topology,interconnected,,2000000,bytes,109732695.0,ns,1
topology,interconnected,,2000000,bytes,123240308.0,ns,1
topology,interconnected,,2000000,bytes,106957254.0,ns,1
topology,interconnected,,2000000,bytes,106445862.0,ns,1
