group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
topology,pipe/big_lines,,20000000,bytes,151089184.0,ns,1
topology,pipe/big_lines,,20000000,bytes,152737836.0,ns,1
topology,pipe/big_lines,,20000000,bytes,147404821.0,ns,1
topology,pipe/big_lines,,20000000,bytes,150916410.0,ns,1
topology,pipe/big_lines,,20000000,bytes,150582722.0,ns,1
topology,pipe/big_lines,,20000000,bytes,148237202.0,ns,1
topology,pipe/big_lines,,20000000,bytes,150366287.0,ns,1
topology,pipe/big_lines,,20000000,bytes,149375011.0,ns,1
topology,pipe/big_lines,,20000000,bytes,151308981.0,ns,1
topology,pipe/big_lines,,20000000,bytes,154602524.0,ns,1
topology,pipe/big_lines,,20000000,bytes,150270303.0,ns,1
topology,pipe/big_lines,,20000000,bytes,149192797.0,ns,1
topology,pipe/big_lines,,20000000,bytes,149414222.0,ns,1
topology,pipe/big_lines,,20000000,bytes,148558111.0,ns,1
topology,pipe/big_lines,,20000000,bytes,149644598.0,ns,1
topology,pipe/big_lines,,20000000,bytes,150702434.0,ns,1
topology,pipe/big_lines,,20000000,bytes,150243422.0,ns,1
topology,pipe/big_lines,,20000000,bytes,148535989.0,ns,1
topology,pipe/big_lines,,20000000,bytes,150218122.0,ns,1
topology,pipe/big_lines,,20000000,bytes,149714410.0,ns,1
topology,pipe/big_lines,,20000000,bytes,149979976.0,ns,1
topology,pipe/big_lines,,20000000,bytes,150235043.0,ns,1
topology,pipe/big_lines,,20000000,bytes,149601757.0,ns,1
topology,pipe/big_lines,,20000000,bytes,149788501.0,ns,1
topology,pipe/big_lines,,20000000,bytes,149861603.0,ns,1
topology,pipe/big_lines,,20000000,bytes,150155951.0,ns,1
topology,pipe/big_lines,,20000000,bytes,148993781.0,ns,1
topology,pipe/big_lines,,20000000,bytes,153650439.0,ns,1
topology,pipe/big_lines,,20000000,bytes,149611846.0,ns,1
topology,pipe/big_lines,,20000000,bytes,150373886.0,ns,1
topology,pipe/big_lines,,20000000,bytes,150560151.0,ns,1
topology,pipe/big_lines,,20000000,bytes,149325969.0,ns,1
topology,pipe/big_lines,,20000000,bytes,149989406.0,ns,1
topology,pipe/big_lines,,20000000,bytes,150112740.0,ns,1
topology,pipe/big_lines,,20000000,bytes,150160551.0,ns,1
topology,pipe/big_lines,,20000000,bytes,154154273.0,ns,1
topology,pipe/big_lines,,20000000,bytes,151308730.0,ns,1
topology,pipe/big_lines,,20000000,bytes,151144626.0,ns,1
topology,pipe/big_lines,,20000000,bytes,150526160.0,ns,1
topology,pipe/big_lines,,20000000,bytes,150840768.0,ns,1
topology,pipe/big_lines,,20000000,bytes,149593976.0,ns,1
topology,pipe/big_lines,,20000000,bytes,150613683.0,ns,1
topology,pipe/big_lines,,20000000,bytes,150303245.0,ns,1
topology,pipe/big_lines,,20000000,bytes,150592112.0,ns,1
topology,pipe/big_lines,,20000000,bytes,149949425.0,ns,1
topology,pipe/big_lines,,20000000,bytes,150886989.0,ns,1
topology,pipe/big_lines,,20000000,bytes,150183721.0,ns,1
topology,pipe/big_lines,,20000000,bytes,149273558.0,ns,1
topology,pipe/big_lines,,20000000,bytes,150803188.0,ns,1
topology,pipe/big_lines,,20000000,bytes,150360196.0,ns,1
topology,pipe/big_lines,,20000000,bytes,150685305.0,ns,1
topology,pipe/big_lines,,20000000,bytes,149341351.0,ns,1
topology,pipe/big_lines,,20000000,bytes,152890021.0,ns,1
topology,pipe/big_lines,,20000000,bytes,148184302.0,ns,1
topology,pipe/big_lines,,20000000,bytes,156265056.0,ns,1
topology,pipe/big_lines,,20000000,bytes,150679645.0,ns,1
topology,pipe/big_lines,,20000000,bytes,151273310.0,ns,1
topology,pipe/big_lines,,20000000,bytes,151952567.0,ns,1
topology,pipe/big_lines,,20000000,bytes,151541097.0,ns,1
topology,pipe/big_lines,,20000000,bytes,148444528.0,ns,1
topology,pipe/big_lines,,20000000,bytes,151522215.0,ns,1
topology,pipe/big_lines,,20000000,bytes,151889645.0,ns,1
topology,pipe/big_lines,,20000000,bytes,148620163.0,ns,1
topology,pipe/big_lines,,20000000,bytes,150257383.0,ns,1
topology,pipe/big_lines,,20000000,bytes,149256018.0,ns,1
topology,pipe/big_lines,,20000000,bytes,154755978.0,ns,1
topology,pipe/big_lines,,20000000,bytes,152281755.0,ns,1
topology,pipe/big_lines,,20000000,bytes,148888159.0,ns,1
topology,pipe/big_lines,,20000000,bytes,148219662.0,ns,1
topology,pipe/big_lines,,20000000,bytes,149444083.0,ns,1
topology,pipe/big_lines,,20000000,bytes,149364641.0,ns,1
topology,pipe/big_lines,,20000000,bytes,150292244.0,ns,1
topology,pipe/big_lines,,20000000,bytes,151564136.0,ns,1
topology,pipe/big_lines,,20000000,bytes,148973481.0,ns,1
topology,pipe/big_lines,,20000000,bytes,150491369.0,ns,1
topology,pipe/big_lines,,20000000,bytes,149913775.0,ns,1
topology,pipe/big_lines,,20000000,bytes,150980152.0,ns,1
topology,pipe/big_lines,,20000000,bytes,149787432.0,ns,1
topology,pipe/big_lines,,20000000,bytes,153002463.0,ns,1
topology,pipe/big_lines,,20000000,bytes,151476714.0,ns,1
topology,pipe/big_lines,,20000000,bytes,149999887.0,ns,1
topology,pipe/big_lines,,20000000,bytes,151185547.0,ns,1
topology,pipe/big_lines,,20000000,bytes,150193672.0,ns,1
topology,pipe/big_lines,,20000000,bytes,150267363.0,ns,1
topology,pipe/big_lines,,20000000,bytes,149932525.0,ns,1
topology,pipe/big_lines,,20000000,bytes,149503494.0,ns,1
topology,pipe/big_lines,,20000000,bytes,150205312.0,ns,1
topology,pipe/big_lines,,20000000,bytes,148437687.0,ns,1
topology,pipe/big_lines,,20000000,bytes,150619573.0,ns,1
topology,pipe/big_lines,,20000000,bytes,148955830.0,ns,1
topology,pipe/big_lines,,20000000,bytes,153206298.0,ns,1
topology,pipe/big_lines,,20000000,bytes,149929515.0,ns,1
topology,pipe/big_lines,,20000000,bytes,150862108.0,ns,1
topology,pipe/big_lines,,20000000,bytes,150703525.0,ns,1
topology,pipe/big_lines,,20000000,bytes,150183001.0,ns,1
topology,pipe/big_lines,,20000000,bytes,148500508.0,ns,1
topology,pipe/big_lines,,20000000,bytes,149947025.0,ns,1
topology,pipe/big_lines,,20000000,bytes,150026527.0,ns,1
topology,pipe/big_lines,,20000000,bytes,150061138.0,ns,1
topology,pipe/big_lines,,20000000,bytes,149461143.0,ns,1
