group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
topology,pipe/multiple_writers,,100000,bytes,50818740.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,52311488.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,47314101.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,49411184.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,55555949.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,55278262.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,55915529.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,53563079.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,53137749.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,51144368.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,52735558.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,52411781.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,53042406.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,55019476.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,48096261.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,55059908.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,55357965.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,55832227.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,54690809.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,55862357.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,54571705.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,50835560.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,54017601.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,52464871.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,51115827.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,51221670.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,55646821.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,54072253.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,52444030.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,53675642.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,55973750.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,52482863.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,49141507.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,53158929.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,54996525.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,49743312.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,52296077.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,57484589.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,55092178.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,55737724.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,54013621.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,54048312.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,51676252.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,54163965.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,50730418.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,54648327.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,52766838.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,50862610.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,47956007.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,55249142.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,51395495.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,54642396.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,51530608.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,51592389.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,52841902.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,51871307.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,54406331.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,52814730.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,51309762.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,55182791.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,56492013.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,51037774.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,48801888.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,52721918.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,52375880.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,55095289.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,50351758.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,53826715.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,51631170.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,50837381.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,53082436.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,52260356.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,51340613.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,52216655.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,49979708.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,52603795.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,52933254.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,55177551.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,53498807.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,47528757.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,57394446.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,55680533.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,50667756.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,49206750.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,54368860.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,53634812.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,53707754.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,48613684.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,54911512.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,55730554.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,53684343.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,52750738.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,55894869.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,51243171.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,57095138.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,55085748.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,52038400.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,53343644.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,53618202.0,ns,2
topology,pipe/multiple_writers,,100000,bytes,48827239.0,ns,2
