group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
topology,pipe/simple,,1000000,bytes,66868547.0,ns,2
topology,pipe/simple,,1000000,bytes,93051392.0,ns,2
topology,pipe/simple,,1000000,bytes,67958773.0,ns,2
topology,pipe/simple,,1000000,bytes,65988316.0,ns,2
topology,pipe/simple,,1000000,bytes,64880216.0,ns,2
topology,pipe/simple,,1000000,bytes,66786655.0,ns,2
topology,pipe/simple,,1000000,bytes,81776134.0,ns,2
topology,pipe/simple,,1000000,bytes,65756619.0,ns,2
topology,pipe/simple,,1000000,bytes,110580666.0,ns,2
topology,pipe/simple,,1000000,bytes,92396956.0,ns,2
topology,pipe/simple,,1000000,bytes,84853744.0,ns,2
topology,pipe/simple,,1000000,bytes,89397379.0,ns,2
topology,pipe/simple,,1000000,bytes,78523003.0,ns,2
topology,pipe/simple,,1000000,bytes,89094720.0,ns,2
topology,pipe/simple,,1000000,bytes,93883413.0,ns,2
topology,pipe/simple,,1000000,bytes,70823347.0,ns,2
topology,pipe/simple,,1000000,bytes,65074301.0,ns,2
topology,pipe/simple,,1000000,bytes,85201911.0,ns,2
topology,pipe/simple,,1000000,bytes,74806049.0,ns,2
topology,pipe/simple,,1000000,bytes,100887721.0,ns,2
topology,pipe/simple,,1000000,bytes,80441981.0,ns,2
topology,pipe/simple,,1000000,bytes,74004719.0,ns,2
topology,pipe/simple,,1000000,bytes,66835235.0,ns,2
topology,pipe/simple,,1000000,bytes,77333663.0,ns,2
topology,pipe/simple,,1000000,bytes,66773855.0,ns,2
topology,pipe/simple,,1000000,bytes,88681621.0,ns,2
topology,pipe/simple,,1000000,bytes,69987358.0,ns,2
topology,pipe/simple,,1000000,bytes,72204322.0,ns,2
topology,pipe/simple,,1000000,bytes,68846976.0,ns,2
topology,pipe/simple,,1000000,bytes,101897207.0,ns,2
topology,pipe/simple,,1000000,bytes,101608879.0,ns,2
topology,pipe/simple,,1000000,bytes,75184358.0,ns,2
topology,pipe/simple,,1000000,bytes,107912419.0,ns,2
topology,pipe/simple,,1000000,bytes,97283579.0,ns,2
topology,pipe/simple,,1000000,bytes,83378486.0,ns,2
topology,pipe/simple,,1000000,bytes,67591137.0,ns,2
topology,pipe/simple,,1000000,bytes,77020704.0,ns,2
topology,pipe/simple,,1000000,bytes,65505813.0,ns,2
topology,pipe/simple,,1000000,bytes,81418956.0,ns,2
topology,pipe/simple,,1000000,bytes,68606871.0,ns,2
topology,pipe/simple,,1000000,bytes,85883969.0,ns,2
topology,pipe/simple,,1000000,bytes,64929868.0,ns,2
topology,pipe/simple,,1000000,bytes,73946075.0,ns,2
topology,pipe/simple,,1000000,bytes,75327581.0,ns,2
topology,pipe/simple,,1000000,bytes,73044293.0,ns,2
topology,pipe/simple,,1000000,bytes,115158692.0,ns,2
topology,pipe/simple,,1000000,bytes,72109130.0,ns,2
topology,pipe/simple,,1000000,bytes,85991802.0,ns,2
topology,pipe/simple,,1000000,bytes,75654119.0,ns,2
topology,pipe/simple,,1000000,bytes,65450791.0,ns,2
topology,pipe/simple,,1000000,bytes,76285707.0,ns,2
topology,pipe/simple,,1000000,bytes,71309350.0,ns,2
topology,pipe/simple,,1000000,bytes,88581729.0,ns,2
topology,pipe/simple,,1000000,bytes,89591814.0,ns,2
topology,pipe/simple,,1000000,bytes,87332187.0,ns,2
topology,pipe/simple,,1000000,bytes,108551024.0,ns,2
topology,pipe/simple,,1000000,bytes,98181422.0,ns,2
topology,pipe/simple,,1000000,bytes,68307013.0,ns,2
topology,pipe/simple,,1000000,bytes,67513084.0,ns,2
topology,pipe/simple,,1000000,bytes,108926823.0,ns,2
topology,pipe/simple,,1000000,bytes,85014339.0,ns,2
topology,pipe/simple,,1000000,bytes,85604503.0,ns,2
topology,pipe/simple,,1000000,bytes,83632893.0,ns,2
topology,pipe/simple,,1000000,bytes,86234069.0,ns,2
topology,pipe/simple,,1000000,bytes,66464375.0,ns,2
topology,pipe/simple,,1000000,bytes,89999884.0,ns,2
topology,pipe/simple,,1000000,bytes,64489347.0,ns,2
topology,pipe/simple,,1000000,bytes,65481252.0,ns,2
topology,pipe/simple,,1000000,bytes,83676393.0,ns,2
topology,pipe/simple,,1000000,bytes,103796835.0,ns,2
