group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
topology,pipe/small_lines,,10000,bytes,62376604.0,ns,2
topology,pipe/small_lines,,10000,bytes,85385137.0,ns,2
topology,pipe/small_lines,,10000,bytes,99905625.0,ns,2
topology,pipe/small_lines,,10000,bytes,76369518.0,ns,2
topology,pipe/small_lines,,10000,bytes,75758113.0,ns,2
topology,pipe/small_lines,,10000,bytes,109761816.0,ns,2
topology,pipe/small_lines,,10000,bytes,109564521.0,ns,2
topology,pipe/small_lines,,10000,bytes,62388504.0,ns,2
topology,pipe/small_lines,,10000,bytes,102548634.0,ns,2
topology,pipe/small_lines,,10000,bytes,63697377.0,ns,2
topology,pipe/small_lines,,10000,bytes,87458570.0,ns,2
topology,pipe/small_lines,,10000,bytes,78528913.0,ns,2
topology,pipe/small_lines,,10000,bytes,64041605.0,ns,2
topology,pipe/small_lines,,10000,bytes,103044214.0,ns,2
topology,pipe/small_lines,,10000,bytes,77701572.0,ns,2
topology,pipe/small_lines,,10000,bytes,85640633.0,ns,2
topology,pipe/small_lines,,10000,bytes,105354864.0,ns,2
topology,pipe/small_lines,,10000,bytes,106714038.0,ns,2
topology,pipe/small_lines,,10000,bytes,87749687.0,ns,2
topology,pipe/small_lines,,10000,bytes,101592969.0,ns,2
topology,pipe/small_lines,,10000,bytes,85992273.0,ns,2
topology,pipe/small_lines,,10000,bytes,104351268.0,ns,2
topology,pipe/small_lines,,10000,bytes,84730061.0,ns,2
topology,pipe/small_lines,,10000,bytes,85456029.0,ns,2
topology,pipe/small_lines,,10000,bytes,96987651.0,ns,2
topology,pipe/small_lines,,10000,bytes,61928292.0,ns,2
topology,pipe/small_lines,,10000,bytes,83565581.0,ns,2
topology,pipe/small_lines,,10000,bytes,87149591.0,ns,2
topology,pipe/small_lines,,10000,bytes,97253027.0,ns,2
topology,pipe/small_lines,,10000,bytes,64545089.0,ns,2
topology,pipe/small_lines,,10000,bytes,94606080.0,ns,2
topology,pipe/small_lines,,10000,bytes,82883443.0,ns,2
topology,pipe/small_lines,,10000,bytes,106684058.0,ns,2
topology,pipe/small_lines,,10000,bytes,64500527.0,ns,2
topology,pipe/small_lines,,10000,bytes,79586381.0,ns,2
topology,pipe/small_lines,,10000,bytes,83293284.0,ns,2
topology,pipe/small_lines,,10000,bytes,65262097.0,ns,2
topology,pipe/small_lines,,10000,bytes,87981291.0,ns,2
topology,pipe/small_lines,,10000,bytes,99922236.0,ns,2
topology,pipe/small_lines,,10000,bytes,84616837.0,ns,2
topology,pipe/small_lines,,10000,bytes,105017425.0,ns,2
topology,pipe/small_lines,,10000,bytes,85302644.0,ns,2
topology,pipe/small_lines,,10000,bytes,105198660.0,ns,2
topology,pipe/small_lines,,10000,bytes,82407431.0,ns,2
topology,pipe/small_lines,,10000,bytes,79930178.0,ns,2
topology,pipe/small_lines,,10000,bytes,62702111.0,ns,2
topology,pipe/small_lines,,10000,bytes,85048668.0,ns,2
topology,pipe/small_lines,,10000,bytes,65715918.0,ns,2
topology,pipe/small_lines,,10000,bytes,86481605.0,ns,2
topology,pipe/small_lines,,10000,bytes,62067866.0,ns,2
topology,pipe/small_lines,,10000,bytes,67296018.0,ns,2
topology,pipe/small_lines,,10000,bytes,88238629.0,ns,2
topology,pipe/small_lines,,10000,bytes,84924055.0,ns,2
topology,pipe/small_lines,,10000,bytes,109240142.0,ns,2
topology,pipe/small_lines,,10000,bytes,96122910.0,ns,2
topology,pipe/small_lines,,10000,bytes,80152595.0,ns,2
topology,pipe/small_lines,,10000,bytes,84497105.0,ns,2
topology,pipe/small_lines,,10000,bytes,72462139.0,ns,2
topology,pipe/small_lines,,10000,bytes,84629157.0,ns,2
topology,pipe/small_lines,,10000,bytes,86399093.0,ns,2
topology,pipe/small_lines,,10000,bytes,97916134.0,ns,2
topology,pipe/small_lines,,10000,bytes,85480259.0,ns,2
topology,pipe/small_lines,,10000,bytes,63267177.0,ns,2
topology,pipe/small_lines,,10000,bytes,87287325.0,ns,2
topology,pipe/small_lines,,10000,bytes,79798835.0,ns,2
topology,pipe/small_lines,,10000,bytes,108467153.0,ns,2
topology,pipe/small_lines,,10000,bytes,97914065.0,ns,2
topology,pipe/small_lines,,10000,bytes,95479933.0,ns,2
topology,pipe/small_lines,,10000,bytes,63908903.0,ns,2
topology,pipe/small_lines,,10000,bytes,106340699.0,ns,2
topology,pipe/small_lines,,10000,bytes,85378477.0,ns,2
topology,pipe/small_lines,,10000,bytes,77532388.0,ns,2
topology,pipe/small_lines,,10000,bytes,85580182.0,ns,2
topology,pipe/small_lines,,10000,bytes,65497933.0,ns,2
topology,pipe/small_lines,,10000,bytes,106290307.0,ns,2
topology,pipe/small_lines,,10000,bytes,86599228.0,ns,2
topology,pipe/small_lines,,10000,bytes,82205407.0,ns,2
topology,pipe/small_lines,,10000,bytes,103819235.0,ns,2
topology,pipe/small_lines,,10000,bytes,100839739.0,ns,2
topology,pipe/small_lines,,10000,bytes,86232929.0,ns,2
topology,pipe/small_lines,,10000,bytes,106572604.0,ns,2
topology,pipe/small_lines,,10000,bytes,63398098.0,ns,2
topology,pipe/small_lines,,10000,bytes,65202365.0,ns,2
topology,pipe/small_lines,,10000,bytes,85934360.0,ns,2
topology,pipe/small_lines,,10000,bytes,80011000.0,ns,2
topology,pipe/small_lines,,10000,bytes,87354148.0,ns,2
topology,pipe/small_lines,,10000,bytes,86012334.0,ns,2
topology,pipe/small_lines,,10000,bytes,87096590.0,ns,2
topology,pipe/small_lines,,10000,bytes,85914310.0,ns,2
topology,pipe/small_lines,,10000,bytes,97429224.0,ns,2
topology,pipe/small_lines,,10000,bytes,87357836.0,ns,2
topology,pipe/small_lines,,10000,bytes,104422691.0,ns,2
topology,pipe/small_lines,,10000,bytes,95435342.0,ns,2
topology,pipe/small_lines,,10000,bytes,61819128.0,ns,2
topology,pipe/small_lines,,10000,bytes,87351387.0,ns,2
topology,pipe/small_lines,,10000,bytes,105529028.0,ns,2
topology,pipe/small_lines,,10000,bytes,81540400.0,ns,2
topology,pipe/small_lines,,10000,bytes,104541423.0,ns,2
topology,pipe/small_lines,,10000,bytes,86995618.0,ns,2
topology,pipe/small_lines,,10000,bytes,66954350.0,ns,2
