group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
topology,transforms,,1100000,bytes,38981459.0,ns,1
topology,transforms,,1100000,bytes,53559209.0,ns,1
topology,transforms,,1100000,bytes,38877426.0,ns,1
topology,transforms,,1100000,bytes,56733140.0,ns,1
topology,transforms,,1100000,bytes,62687801.0,ns,1
topology,transforms,,1100000,bytes,53369094.0,ns,1
topology,transforms,,1100000,bytes,56775601.0,ns,1
topology,transforms,,1100000,bytes,38726323.0,ns,1
topology,transforms,,1100000,bytes,56701179.0,ns,1
topology,transforms,,1100000,bytes,56301489.0,ns,1
topology,transforms,,1100000,bytes,40038956.0,ns,1
topology,transforms,,1100000,bytes,53839486.0,ns,1
topology,transforms,,1100000,bytes,54715889.0,ns,1
topology,transforms,,1100000,bytes,54239886.0,ns,1
topology,transforms,,1100000,bytes,58564046.0,ns,1
topology,transforms,,1100000,bytes,53825596.0,ns,1
topology,transforms,,1100000,bytes,39307458.0,ns,1
topology,transforms,,1100000,bytes,51487396.0,ns,1
topology,transforms,,1100000,bytes,57499839.0,ns,1
topology,transforms,,1100000,bytes,50912472.0,ns,1
topology,transforms,,1100000,bytes,41823721.0,ns,1
topology,transforms,,1100000,bytes,39492082.0,ns,1
topology,transforms,,1100000,bytes,57065768.0,ns,1
topology,transforms,,1100000,bytes,58830663.0,ns,1
topology,transforms,,1100000,bytes,38056835.0,ns,1
topology,transforms,,1100000,bytes,41205596.0,ns,1
topology,transforms,,1100000,bytes,58855934.0,ns,1
topology,transforms,,1100000,bytes,63872901.0,ns,1
topology,transforms,,1100000,bytes,40436917.0,ns,1
topology,transforms,,1100000,bytes,58516345.0,ns,1
topology,transforms,,1100000,bytes,57359966.0,ns,1
topology,transforms,,1100000,bytes,51954418.0,ns,1
topology,transforms,,1100000,bytes,50878971.0,ns,1
topology,transforms,,1100000,bytes,36799484.0,ns,1
topology,transforms,,1100000,bytes,41019321.0,ns,1
topology,transforms,,1100000,bytes,40802056.0,ns,1
topology,transforms,,1100000,bytes,53923999.0,ns,1
topology,transforms,,1100000,bytes,65613866.0,ns,1
topology,transforms,,1100000,bytes,51197019.0,ns,1
topology,transforms,,1100000,bytes,61984044.0,ns,1
topology,transforms,,1100000,bytes,47069905.0,ns,1
topology,transforms,,1100000,bytes,38837886.0,ns,1
topology,transforms,,1100000,bytes,59614773.0,ns,1
topology,transforms,,1100000,bytes,40321124.0,ns,1
topology,transforms,,1100000,bytes,36799284.0,ns,1
topology,transforms,,1100000,bytes,53593860.0,ns,1
topology,transforms,,1100000,bytes,53804956.0,ns,1
topology,transforms,,1100000,bytes,51390144.0,ns,1
topology,transforms,,1100000,bytes,39092282.0,ns,1
topology,transforms,,1100000,bytes,63647805.0,ns,1
topology,transforms,,1100000,bytes,57256344.0,ns,1
topology,transforms,,1100000,bytes,62490006.0,ns,1
topology,transforms,,1100000,bytes,51812115.0,ns,1
topology,transforms,,1100000,bytes,58323260.0,ns,1
topology,transforms,,1100000,bytes,59222423.0,ns,1
topology,transforms,,1100000,bytes,49275781.0,ns,1
topology,transforms,,1100000,bytes,53561569.0,ns,1
topology,transforms,,1100000,bytes,52736929.0,ns,1
topology,transforms,,1100000,bytes,60703381.0,ns,1
topology,transforms,,1100000,bytes,59155112.0,ns,1
topology,transforms,,1100000,bytes,56168495.0,ns,1
topology,transforms,,1100000,bytes,56425972.0,ns,1
topology,transforms,,1100000,bytes,39729068.0,ns,1
topology,transforms,,1100000,bytes,57998912.0,ns,1
topology,transforms,,1100000,bytes,61519641.0,ns,1
topology,transforms,,1100000,bytes,59059879.0,ns,1
topology,transforms,,1100000,bytes,42424927.0,ns,1
topology,transforms,,1100000,bytes,58527545.0,ns,1
topology,transforms,,1100000,bytes,39106893.0,ns,1
topology,transforms,,1100000,bytes,53257712.0,ns,1
topology,transforms,,1100000,bytes,46158751.0,ns,1
topology,transforms,,1100000,bytes,39567744.0,ns,1
topology,transforms,,1100000,bytes,41425582.0,ns,1
topology,transforms,,1100000,bytes,55858307.0,ns,1
topology,transforms,,1100000,bytes,55352005.0,ns,1
topology,transforms,,1100000,bytes,60161207.0,ns,1
topology,transforms,,1100000,bytes,58988268.0,ns,1
topology,transforms,,1100000,bytes,49910466.0,ns,1
topology,transforms,,1100000,bytes,39716578.0,ns,1
topology,transforms,,1100000,bytes,54783670.0,ns,1
topology,transforms,,1100000,bytes,50918412.0,ns,1
topology,transforms,,1100000,bytes,49949458.0,ns,1
topology,transforms,,1100000,bytes,60204438.0,ns,1
topology,transforms,,1100000,bytes,55809846.0,ns,1
topology,transforms,,1100000,bytes,40950399.0,ns,1
topology,transforms,,1100000,bytes,54742859.0,ns,1
topology,transforms,,1100000,bytes,52844621.0,ns,1
topology,transforms,,1100000,bytes,38773784.0,ns,1
topology,transforms,,1100000,bytes,58358461.0,ns,1
topology,transforms,,1100000,bytes,57263073.0,ns,1
topology,transforms,,1100000,bytes,54587986.0,ns,1
topology,transforms,,1100000,bytes,52503973.0,ns,1
topology,transforms,,1100000,bytes,59954002.0,ns,1
topology,transforms,,1100000,bytes,53256551.0,ns,1
topology,transforms,,1100000,bytes,57908960.0,ns,1
topology,transforms,,1100000,bytes,39610366.0,ns,1
topology,transforms,,1100000,bytes,51483887.0,ns,1
topology,transforms,,1100000,bytes,55725144.0,ns,1
topology,transforms,,1100000,bytes,53051626.0,ns,1
topology,transforms,,1100000,bytes,37560283.0,ns,1
